title,desc,tags
离谱 不愧是国家森林城市哈,就西湖边一个小小的过街通道 就美的有点犯规了 之所以这么好看，是因为玻璃顶面被擦的很干净 杭州真的是一座在细节上就让人很喜欢的城市 杭州的绿，绿的太舒服了 充满了治愈感 每天都能获得新的惊喜就是了 从这边走到西湖的南山路 就是一大片高大的梧桐树，国美就在附近 散步真的很舒服 	 拍摄建议：手机拍或者带广角的镜头，最好是中午有阳光的时候去～会收获绝美的夏天感觉 下雨天也不错，雨落在屋顶上形成一个一个的圆圈，很有氛围感 	 位置：杭州定安路涌金门地下通道 	 大之喵：一个善于探索城市的旅行者 	 #记录我的城市[话题]# #自然风光分享[话题]# #假日citywalk[话题]# #杭州旅游[话题]#  #西湖[话题]# #浪漫生活的记录者[话题]# #周末去哪儿[话题]# #治愈系[话题]# #氛围感[话题]##暑你会晒[话题]#,"记录我的城市, 自然风光分享, 假日citywalk, 杭州旅游, 西湖, 浪漫生活的记录者, 周末去哪儿, 治愈系, 氛围感, 暑你会晒"
以为西湖已经够美了，直到我去了这里….,· 接下来的杭州 是万万次的春和景明🌸 比起人挤人的西湖 樱花季的中国院子更是美到next level 小桥流水，亭台楼阁，栽满了樱花 江南庭院的中式美学真的太顶了！ 等到蓝调，樱花在暖光烘托下 冷暖对比，更是梦幻🌙 下个月，约上小伙伴 我们樱花树下不见不散~ · 🌸｜中国院子·梦溪苑 📍｜浙江省杭州市余杭区良安路118号 🚇｜地铁坐到“良渚站”再打车15min 📷｜拍摄时间：2024.3.25 · #新年旅行第一站[话题]# #不早起旅行日记[话题]# #反向旅行出门溜溜[话题]# #新年版citywalk[话题]# #接下来期待的是春天[话题]# #春季赏花好去处[话题]# #用镜头捕捉春天[话题]# #镜头下的春和景明[话题]# #我拍到的治愈画面[话题]# #春天的影像诗[话题]# #杭州旅行[话题]# #小众旅行地[话题]# #樱花季[话题]# #杭州樱花[话题]# @生活薯 @摄影薯,"新年旅行第一站, 不早起旅行日记, 反向旅行出门溜溜, 新年版citywalk, 接下来期待的是春天, 春季赏花好去处, 用镜头捕捉春天, 镜头下的春和景明, 我拍到的治愈画面, 春天的影像诗, 杭州旅行, 小众旅行地, 樱花季, 杭州樱花"
除了西湖，杭州还有这条运河citywalk路线,起点:拱宸桥西码头→终点:小河直街 1️⃣拱宸桥 ·杭州运河地标，站在桥上俯瞰运河船只往来，感受千年运河的流动历史。 2️⃣桥西历史街区 ·青石板路、白墙黛瓦的老建筑群，分布着中国刀剪剑博物馆、中国伞博物馆、中国扇博物馆(免费，周一闭馆)，可深入了解非遗文化。 3️⃣运河手工艺活态馆 ·体验传统手作(油纸伞、竹编、陶艺等)，适合亲子或文艺爱好者。 4️⃣小河直街 ·沿运河步行约15分钟抵达，文艺小店、咖啡馆、茶馆林立，推荐打卡「大橘家咖啡馆」「小河无名面馆」，感受老街慢时光。 	 #杭州旅游[话题]# #杭州旅游攻略[话题]# #杭州运河[话题]# #chinatravel[话题]# #citywalk[话题]# #西湖[话题]# #杭州周末去哪儿[话题]# #城市小众打卡地[话题]# #小河直街[话题]# #桥西直街[话题]#,"杭州旅游, 杭州旅游攻略, 杭州运河, chinatravel, citywalk, 西湖, 杭州周末去哪儿, 城市小众打卡地, 小河直街, 桥西直街"
暴走3w步血泪总结！来杭州逛1条街📍中山北路,. 一条文艺宝藏可爱🎀🌍随便逛快乐citywalk线路 逛完终点是📍西湖～～～ . #大城市小浪漫[话题]# #杭州[话题]# #杭州旅游[话题]# #live[话题]# #周末去哪玩[话题]# #杭州周末去哪儿[话题]# #浪漫生活的记录者[话题]# #是live也是life[话题]# #citywalk[话题]# #hellokitty[话题]#,"大城市小浪漫, 杭州, 杭州旅游, live, 周末去哪玩, 杭州周末去哪儿, 浪漫生活的记录者, 是live也是life, citywalk, hellokitty"
实话确实难听，但这就是杭州旅游现状,作为在杭州生活几十年的杭州人，说点杭州旅游的大实话吧 写给想要来杭州旅游的小伙伴们！ 1、杭州真的不适合走马观花的特种兵式旅游，如果可以，需要慢一点去品味杭州的美，结合历史、人文、景色会有更好的体验 	 2、一般来杭州玩的人都会去苏堤白堤等外西湖，人又多，且相对美景少，推荐乌龟潭-浴鹄湾-花港观鱼这一条线路，更绿更有意境，会有绿野仙踪的感觉 	 3、想去灵隐寺是需要买两个票的，飞来峰景区和灵隐寺的两个票，因为这是两个公司管理的 	 4、河坊街、小河直街这些地方人多，商业化严重，不用很仔细玩，游览一下就可以 	 5、茅家埠、龙井村、九溪这些地方很适合citywalk，但是看天气，夏天会非常热 	 6、杭州博物馆很多，很好逛，丝绸博物馆、良渚博物馆、之江新开的浙江博物馆，不花钱就可以看但注意预约时间 	 7、良渚适合抽一天游览，离主城区比较远，但是整体氛围感很不错 	 8、杭州的食物可以说吃不惯，但是说美食荒漠真的很没有礼貌，好吃的有，没有必要上来就玩梗，杭州菜不是只有西湖醋鱼 	 9、杭州的甜品面包非常好吃！富贵面包公司、黑彩虹、安莎烘焙等，值得去打卡试一下！ 	 10、杭州交通市中心会比较堵，可以的话选择公众交通，共享单车也是不错的选择 	 真心希望每一个来杭州玩的朋友能有个好的旅游体验，杭州值得大家来，感谢大家来 [飞吻R][飞吻R][飞吻R] #民宿[话题]#  #西湖[话题]#  #杭州[话题]#  #旅游[话题]#  #不可错过的美景[话题]#  #旅行推荐官[话题]#  #旅途中的美景[话题]#  #小众景点[话题]#  #杭州美食[话题]#  #杭州旅游[话题]#  #自驾游路线[话题]#  @走走薯  @生活薯,"民宿, 西湖, 杭州, 旅游, 不可错过的美景, 旅行推荐官, 旅途中的美景, 小众景点, 杭州美食, 杭州旅游, 自驾游路线"
杭州最爱的夜游地方，地铁直达！好city啊！,来杭州想晚上游玩 强烈推荐钱塘江夜游citywalk ✔️可以看到钱塘江自然景观及各大标志性建筑 大莲花，杭州之门，日月同辉(杭州国际会议中心和杭州大剧院） ✔️看一场钱江新城灯光秀，时长15分钟，很是震撼 	 📍地点：城市阳台 🚇地铁：市民中心地铁站 	 . 钱江新城灯光秀： 🕤周五、六每晚播放2场，时间为19:30、20:30；周日至周四每晚播放1场，时间为20:30 注意:这是夏令时时间，比冬令时推迟一小时 	 附近还有来福士，万象城商场，看完灯光秀可以去逛逛 #杭州citywalk[话题]##杭州夜景[话题]# #杭州周末去哪儿[话题]# #杭州[话题]# #杭州拍照[话题]# #记录我的城市[话题]# #城市浪漫地标打卡地[话题]# #城市摄影[话题]# #旅行[话题]# #要抓住夏天的尾巴[话题]#,"杭州citywalk, 杭州夜景, 杭州周末去哪儿, 杭州, 杭州拍照, 记录我的城市, 城市浪漫地标打卡地, 城市摄影, 旅行, 要抓住夏天的尾巴"
杭州本地人才知道的馒头山citywalk路线,#杭州周末去哪儿[话题]# #杭州citywalk[话题]# #游玩攻略[话题]# #万松书院[话题]# #馒头山[话题]# #杭州创意园区[话题]# #本地人才知道的好地方[话题]# #文艺生活者[话题]# #城市速写师[话题]#,"杭州周末去哪儿, 杭州citywalk, 游玩攻略, 万松书院, 馒头山, 杭州创意园区, 本地人才知道的好地方, 文艺生活者, 城市速写师"
比起西湖，我更推荐杭州运河边小众citywalk,第一次来杭州，一定要知道这条小众citywalk 这里藏着杭州的一半历史，一半人间烟火 如果给杭州留2天时间，除了西湖一日游 听我劝：走完这条citywalk杭州才不算白来！ 	 · ✅路线行程 武林门码头—信义坊码头—富义仓—香积寺—大兜路历史文化街区—小河直街—小河公园—桥西历史文化街区—拱宸桥码头-武林门码头-西湖文化广场-武林夜市 	 ⚠️Tips：水上巴士1号线 只用3r就能游遍大运河沿线景点，建议早上提前排队上船占窗边位置！非首发站，途径站点上船，不一定每个班次都有座位！如果这一趟船满员，就要继续等下一趟时间！ 	 . ✅必打卡景点 ❶香积寺 🎫门票：20r（寺庙卡免费） 门口可以看到绝美的古今同框！这里可以吃斋饭！ 	 ❷大兜路历史文化街区 🎫门票：免费 保留了很多清末民初的历史建筑，我拍到了一半仙气一半烟火！ 	 ❸富义仓遗址公园 🎫门票：免费 有天下粮仓之称，现在内部不定期举办各种展览 	 ❹小河直街 🎫门票：免费 极具江南水乡韵味的建筑，手作/咖啡/茶馆二文 艺氛围感满满💯 	 ❺小河公园 🎫门票：免费 浓浓现代工业风的油罐建筑，是日本建筑大师隈研吾团队设计，由小河油库改建而成。本地人zui爱逛的公园！ 	 ❻桥西历史文化街区 🎫门票：免费 藏着杭州近现代百年工业发展故事，来这里寻找街巷里弄的人间烟火。一口气逛完6个博物馆，还能一路集齐盖章！ 	 . ✅住宿 我们入住了「杭州纳德世家大酒店」交通非常便捷，距离游玩西湖&大运河都很近，湖景房站在窗边一眼能看到西湖！堪称市中心的性价比之王！不得不说：酒店提供的自助餐打破了我对杭州美食的印象！海鲜自由！甜品自由！中式菜品口味也很👍一楼还有新中式下午茶，真的很惬意～ . #杭州周末去哪儿[话题]# #周末去哪儿[话题]# #杭州Citywalk[话题]# #杭州[话题]# #杭州旅游[话题]# #杭州拍照[话题]# #京杭大运河杭州景区[话题]# #杭州周末好去处[话题]# #周末好去处[话题]# #国庆节旅游[话题]# #国庆去哪儿玩[话题]# #国庆旅游攻略[话题]# #旅游攻略[话题]# #杭州旅行[话题]# #杭州旅行攻略[话题]# #杭州旅遊攻略[话题]# #家门口也有好风景[话题]# #不懂就问有问必答[话题]# #分享一次住宿体验[话题]#,"杭州周末去哪儿, 周末去哪儿, 杭州Citywalk, 杭州, 杭州旅游, 杭州拍照, 京杭大运河杭州景区, 杭州周末好去处, 周末好去处, 国庆节旅游, 国庆去哪儿玩, 国庆旅游攻略, 旅游攻略, 杭州旅行, 杭州旅行攻略, 杭州旅遊攻略, 家门口也有好风景, 不懂就问有问必答, 分享一次住宿体验"
真的没人‼️西湖边zui舒服的citywalk路线,#国庆我要慢慢玩[话题]# 西湖的美不仅在于湖 还在于围绕着西湖的群山⛰️ 杭州生活12年 走遍了西湖的角角落落 分享我zui爱的杭州西湖citywalk路线 人少清净，本地人推荐👍🏻 · 📏步行距离：4.5km（5000步） ⏰全程耗时：3.5h（含游玩时间） 🗺️具体路线：如下 · 1️⃣茅家埠→2️⃣郭庄→3️⃣赵公堤→4️⃣云松书舍→5️⃣植物园南门→6️⃣韩美林艺术馆→7️⃣玉泉景点→8️⃣植物园青芝坞门→9️⃣青芝坞 · 1️⃣茅家埠 🎫：免费 西湖后花园，比起人挤人的西湖南线，茅家埠很幽静，这里看西湖有一种自然的野趣 · 2️⃣小西湖郭庄 🎫：10 西湖四大名园之一，比起苏州园林的精巧，郭庄的美更风雅一些，这里可以边喝茶边赏景，独享一片西湖 · 3️⃣赵公堤 🎫：免费 比起大名鼎鼎的苏堤、白堤，宋代而建的赵公堤几乎没人，曲径通幽，绿意盎然 · 4️⃣云松书舍 🎫：免费 金庸先生的私宅，典型的江南园林风格，有苏州园林的影子，却少了三分雕饰，多了三分古朴温润 · 5️⃣植物园 🎫：10 植物园是杭州zui值得逛的景点之一，面积很大人很少，每个季节都有不同的美，现在彼岸花开得正好 · 6️⃣韩美林艺术馆 🎫：免费，包含在植物园门票内 植物园必打卡的机位之一，藏在艺术馆里的巨型佛头，很有宿命感 · 7️⃣玉泉景点 🎫：免费，包含在植物园门票内 亭台楼阁水榭，这里有很多锦鲤，所以又叫玉泉鱼跃，很治愈 · 9️⃣青芝坞 🎫：免费 浙大旁的老杭州社区，有很多家常杭帮菜、私房菜，也有不少民宿 · ⚠️Tips 我是在圆周旅迹上做的行程攻略，真的很爱这个app💗可以精准的显示每个景点之间的距离，推荐的交通方式🚗和大概需要的时间⌚️，还可以直接唤起导航，再也不怕迷路咯。而且还可以导入🍠的攻略，自动生成路线，系统还会帮你优化，简直就是懒人救星👍🏻 · #J人旅行指南[话题]# #圆周旅迹[话题]# #1分钟搞定旅行规划[话题]# #杭州旅游[话题]# #杭州旅行[话题]# #杭州citywalk[话题]# #西湖[话题]# #西湖美景[话题]# #国庆划得来逛吃指南[话题]# #本地人才知道的小众景点[话题]# #秋日浓度播报[话题]# #杭州拍照[话题]#,"国庆我要慢慢玩, J人旅行指南, 圆周旅迹, 1分钟搞定旅行规划, 杭州旅游, 杭州旅行, 杭州citywalk, 西湖, 西湖美景, 国庆划得来逛吃指南, 本地人才知道的小众景点, 秋日浓度播报, 杭州拍照"
杭州citywalk |周末必逛的7条街📍,#周末去哪儿[话题]# 来杭州一定要逛这7条街 逛完这7条街，你会彻底爱上杭州。来杭州不能错过的洗浴中心-海茵汇温泉（滨江店），他们家交通地铁直达，门口就有服务员热情接待。里面的装修富丽堂皇，洗浴区的水质清澈干净，休息区的私密性也不错。在1.22-2.13，某团🔍【欢洗节】🈶8⃣8⃣⭕包，特种兵大学生和月光族都可以体验上有天堂下有苏杭的感受了。 ✅湖滨步行街： ✨关键词：杭州蕞繁华，紧挨着西湖，逛街超方便 ❗游玩小 Tips：别开车来，堵，停车费也很高 📍地址：上城区凤起路539-4号 ✅ 三墩老街 ✨关键词：很有杭州老底子味道的老街，很多美食店铺 📍李馆长深夜食堂干煸小龙虾 🧭金庄路紫金生活广场院内4幢1楼，特色干煸小龙虾，花雕冰镇精品大虾，特色大油边，炭烤鸦片鱼尾等等配这小啤酒🍻 ✅河坊街： ✨关键词：口碑争议。免费试吃 ❗游玩小 Tips：人多，注意防晒 📍地址：上城区河坊街180号 ✅武林女人街： 关键词：晚上蕞热闹。潮流年轻人都爱来这儿喜欢逛夜市的别错过 ❗游玩小 Tips：别带女朋友来，不然钱包会瘪哦 📍地址：拱墅区武林路299号 ✅南宋御街： ✨关键词：杭城蕞宋代。南宋的皇城根儿在这儿还 有数不尽的网红打卡 📍地址：上城区中山中路192号 ✅小河直街： ✨关键词：古风蕞好拍。每家店铺都很精美，文艺青年都爱来这里，记得带上志趣相投的人 ❗游玩小 Tips：别带上猪队友，不然会被气哭哦 📍地址：拱墅区小河直街51 ✅武林美食街： ✨时间：17:00- 22:00 美食、手作、手工艺应有尽有，让人眼花缭乱。灯光、餐车都做了相应升级，氛围感十足。夜市左边的武林路，也多了很多有趣的摊位，咖啡、路边酒吧、各种可爱的车车摊位，太好逛了。 夜市的摊位主要售卖小吃甜品、手工艺品等。小吃有葱包烩（杭州传统美食，必须尝尝） 📍地铁：2号线凤起路站 E 口步行320米 #国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]# @小红书创作助手 @小红书创作学院 @小红书成长笔记#干煸小龙虾[话题]##杭州小龙虾[话题]##李馆长深夜食堂[话题]# #国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]#,"周末去哪儿, 国庆, 杭州, 旅游, 笔记灵感, 攻略, 杭州旅游攻略, 杭州周边游, 干煸小龙虾, 杭州小龙虾, 李馆长深夜食堂"
