id,sys_platform,uuid,bstudio_create_time,main,tag
1,xhs,98dc36d8-257c-47b2-901e-57f02f58f492,2025-02-19 10:17:36,"来杭州一定要逛这7条街，逛完这7条街，你会彻底爱上杭州。来杭州不能错过的洗浴中心-海茵汇温泉（滨江店），他们家交通地铁直达，门口就有服务员热情接待。里面的装修富丽堂皇，洗浴区的水质清澈干净，休息区的私密性也不错。在1.22-2.13，某团🔍【欢洗节】🈶8⃣8⃣⭕包，特种兵大学生和月光族都可以体验上有天堂下有苏杭的感受了。

✅ 湖滨步行街：
✨关键词：杭州最繁华，紧挨着西湖，逛街超方便
❗游玩小 Tips：别开车来，堵，停车费也很高
📍地址：上城区凤起路539-4号

✅ 三墩老街
✨关键词：很有杭州老底子味道的老街，很多美食店铺
🍽️推荐：李馆长深夜食堂干煸小龙虾
📍金庄路紫金生活广场院内4幢1楼，特色干煸小龙虾，花雕冰镇精品大虾，特色大油边，炭烤鸦片鱼尾等等配这小啤酒🍻

✅ 河坊街：
✨关键词：口碑争议。免费试吃
❗游玩小 Tips：人多，注意防晒
📍地址：上城区河坊街180号

✅ 武林女人街：
关键词：晚上最热闹。潮流年轻人都爱来这儿，喜欢逛夜市的别错过
❗游玩小 Tips：别带女朋友来，不然钱包会瘪哦
📍地址：拱墅区武林路299号

✅ 南宋御街：
✨关键词：杭城最宋代。南宋的皇城根儿在这儿，还有数不尽的网红打卡
📍地址：上城区中山中路192号

✅ 小河直街：
✨关键词：古风最好拍。每家店铺都很精美，文艺青年都爱来这里，记得带上志趣相投的人
❗游玩小 Tips：别带上猪队友，不然会被气哭哦
📍地址：拱墅区小河直街51

✅ 武林美食街：
✨时间：17:00-22:00
美食、手作、手工艺应有尽有，让人眼花缭乱。灯光、餐车都做了相应升级，氛围感十足。夜市左边的武林路，也多了很多有趣的摊位，咖啡、路边酒吧、各种可爱的车车摊位，太好逛了。
夜市的摊位主要售卖小吃甜品、手工艺品等。小吃有葱包烩（杭州传统美食，必须尝尝）
📍地铁：2号线凤起路站 E 口步行320米

#国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]#",主题标签-历史文化-南宋御街
2,xhs,7388f66a-2fec-41d4-b5bd-2a7f581b82c3,2025-02-19 10:17:36,"中山中路真是个宝藏街区！它始于南宋御街，靠近河坊街，但没有那么商业化。头顶是茂密的大树，夏天行走也不会太热。一路向北走，可以看到许多欧式风格的历史建筑和洋房。

旁边的 Hü℉ phoenix寺 是杭州市区内的伊斯兰教礼拜中心，因此周围有许多清真牛羊肉餐饮店。寺庙虽然不大，但10分钟内就可以逛完，而且是免费参观的。

羊坝头附近的欧式建筑非常吸引人，这里是网红电商服装人的常用地点，运气好的话可以偶遇杭州的网红。

如果不想规划路线，可以直接从中山中路1号走到尽头，这样既轻松又能体验整条街道的魅力。

**特色餐厅：**
- 羊坝头马大西北牛肉火锅
- 喀摩尔土耳其风味餐厅
- 番禺申记·现切猪杂粥
- 岐照·日式挽肉大米
- 奎元馆

**咖啡甜品店：**
- pandas bamboo熊竹咖啡
- 梦记咖啡
- 三浪咖啡
- bitofree甜菜
- 晓春和
- 福兹FUTSU
- QUEL QUER sip coffee&taproom

**酒吧：**
- 养鱼young boss bar
- 日出sunrise lounge
- 红lounge bar
- 隔壁酒馆
- outsider局外人精酿

#杭州citywalk
#杭州周末去哪儿
#旅游
#杭州拍照
#杭州咖啡店
#杭州面包店
#逛街",主题标签-历史文化-南宋御街
3,xhs,979812c2-feba-4883-91b4-be163c0f442a,2025-02-19 10:17:36,"如果你只有一天时间，那么杭州这条最具烟火气的一日游路线，一定不要错过。

1. 胡雪岩故居
2. 十五奎巷
3. 大马弄
4. 南宋御街
5. 河坊街
6. 五柳巷
7. 德寿宫
8. 乘坐杭州水上巴士

这条路线涵盖了杭州的历史文化街区和传统市井生活，非常适合感受这座城市的独特魅力。此外，这些地点也适合拍照留念。",主题标签-历史文化-南宋御街
4,xhs,03895f50-3c9e-4c82-af41-d7b7cb40ab46,2025-02-19 10:17:36,"以下是一条避开人流的小众路线，花一天时间，既能乘坐最美水上巴士，又能逛吃老杭州感受市井气息。

### CityWalk一日游路线

**坝子桥 ➟ 梅花碑 ➟ 五柳巷 ➟ 德寿宫 ➟ 十五奎巷 ➟ 大马弄 ➟ 鼓楼 ➟ 南宋御街 ➟ 河坊街**

### 关于住宿

可以选择这三个地方：
- ①湖滨步行街
- ②河坊街
- ③黄龙广场

PS：无论是交通还是吃饭都很方便，距离西湖、河坊街非常近。

### 第1站：水上巴士7号线

地铁5号线「宝善桥A2口」或者公交「莫衙营站」下车，步行200米抵达「坝子桥水上巴士站」。

**船票：3元/人，上船刷卡**
- 小船：8人一船
- 大船：下午16:00那班能坐24人

### 第2站：五柳巷

从梅花碑下船步行5分钟到五柳巷，沿河而建，一侧是绿荫小路，一侧是老城生活区，充满老杭州的市井气息。

**美食推荐：**
- 游埠豆浆：咸豆浆、油条、烧饼
- 金华酥饼：梅干菜烧饼
- 赵宝美点心店：小馄饨、葱煎包

### 第3站：德寿宫

整个场馆分地上和地下两部分，相比修缮一新的地上宫殿，我更喜欢地下的慈福宫遗址和重华殿。

**门票：免费**
- **开放时间：09:30—17:00**
- **公益讲解：上午10:30，下午14:30（游客中心集合）**

### 第4站：十五奎巷

解锁拍照机位：巴尔干客栈（十五奎巷的晓霞弄）。这里能拍到小巷子与望仙阁同框的照片。

### 第5站：大马弄

步行5分钟到大马弄，寻找藏在菜市场里的杭州味道。

**美食推荐：**
- 蒋师傅酥鱼
- 周萍粽子
- 菊英面店
- 侯大姐葱包烩
- 小王油墩儿
- 素烧鹅

### 第6站：鼓楼

临近傍晚，从大马弄步行10分钟抵达鼓楼。比起白天的模样，夜幕下的鼓楼更有感觉。古色古香的建筑配上红色灯笼和盘旋着的金色祥龙，福气满分！

### 第7站：南宋御街

穿过鼓楼，进入清河坊。比起热闹的街巷，我更喜欢呆在「猫空」这样的地方。

### 第8站：河坊街

与南宋御街交叉的东西向老街「清河坊」，是杭州唯一保存完整的旧街区。逛完清河坊，可以到旁边的高银街，有很多杭帮菜的餐馆。

---

以上就是这条避开了人流的小众路线，希望你喜欢！",主题标签-历史文化-南宋御街
5,xhs,36e76c71-8708-4f9c-b865-27c24b247491,2025-02-19 10:17:36,"带着孩子游览杭州时，除了感受西湖的美景，还可以体验南宋的历史遗迹，并乘坐仅需3元钱的最美水上巴士。

📍路线：
地铁吴山广场站D口出 → 河坊街 → 南宋御街 → 城隍阁 → 十五奎巷 → 鼓楼 → 望仙阁 → 胡雪岩故居 → 德寿宫 → 五柳巷 → 水上巴士7号线

⚠️需要购买门票的景点：
💰城隍阁：30元/人，现场购买即可。
💰胡雪岩故居：20元/人，现场购买即可。
🆓德寿宫：免费，需要提前在公众号预约。
💰水上巴士7号线：3元/人，现场上船付款即可。

‼️Tips：
全程大约需要4-5小时，步行距离适中。如果不想走路，可以直接打车到城隍阁山顶。

#笔记灵感 #不懂就问有问必答 #不可错过的美景 #人文景点分享 #旅途中的美景 #国内旅游日常 #来我家乡玩一天 #遛娃好去处 #杭州遛娃好去处 #杭州遛娃去哪儿 #杭州遛娃去哪里 #杭州遛娃胜地 #citywalk #city_walk #618 #618攻略 #618大促 #杭州旅游 #杭州旅行 #杭州旅行攻略 #杭州旅游指南 #杭州旅行地点 #杭州旅游景点 #周末去哪儿",主题标签-历史文化-南宋御街
6,xhs,9495ef35-f2f9-49f1-b8b7-1259d0585740,2025-02-19 10:17:36,"这条路线连接了杭州的经典景点，既能够欣赏风景，又能逛街和享受美食，非常适合家人、闺蜜或情侣出游。

路线：大马弄 → 十五奎巷 → 南宋御街 → 西湖天地 → 湖滨银泰 → 武林夜市

地图见P7

第一站：大马弄  
这里有一个市集，可以看到许多老人晒太阳、买菜，是一个感受杭州本土风土人情的好地方。可品尝美食包括酥鱼、油墩子、葱包烩、粽子和馄饨。

第二站：十五奎巷  
这里是皇城脚下的老杭州居民区，导航到“巴尔干客栈”可以找到拍照机位。

第三站：南宋御街  
这里有众多店铺提供试吃试喝，如南宋胡记和布兰兔的试吃试喝非常值得一试。

第四站：涌金广场、西湖天地  
从南宋御街出来，导航至西湖天地，沿着西湖大道步行可达。抵达西湖天地后可沿湖边散步，尤其是夕阳西下时景色更美。

第五站：湖滨银泰  
从西湖天地沿湖一路步行至此，晚上7:30可观看免费的西湖音乐喷泉。

第六站：武林夜市  
这里有各种品牌奶茶店、小吃、小饰品和香薰等，非常好逛。

标签：#杭州旅游# #周末# #徒步# #假日citywalk# #我的旅行故事# #游记# #城市摄影# #旅游# #周末去哪儿# #国内旅游日常# #人文景点分享# #美食日常#",主题标签-历史文化-南宋御街
7,xhs,68b249f2-7caf-4f42-84c4-4ad3c37c2ddf,2025-02-19 10:17:36,"春节游杭州，除了西湖，我建议你走一走这条老街路线：

👉坝子桥站 - 坐运河水上巴士7号线到梅花碑 - 五柳巷历史街区 - 德寿宫 - 望仙阁 - 十五奎巷 - 大马弄 - 鼓楼 - 南宋御街 - 河坊街 - 吴山广场

景点：
#坝子桥# #运河水上巴士7号线# #梅花碑# #五柳巷历史街区# #杭州德寿宫# #望仙阁# #十五奎巷# #大马弄# #鼓楼# #南宋御街# #河坊街# #吴山广场#

Tips:
1. 如果要坐运河水上巴士，建议一大早就去，如果起得晚，可以直接从五柳巷开始逛起。
2. 水上巴士有小船和大船交替开，大船有窗户和空调，冬天也不会觉得冷。
3. 南宋御街和河坊街的夜景不错，如果时间足够，也可以从晓霞弄一路往上爬到城隍阁和江湖汇观亭俯瞰杭城美景。
4. 春节期间老街活动很多，春节氛围很浓。
5. 这条路线离杭州火车站很近。

这条路线提供了丰富的历史文化体验，适合春节假期探索杭州的老城区。",主题标签-历史文化-南宋御街
8,xhs,95f2bbc6-a9b2-46c7-9829-91fb6295fe40,2025-02-19 10:17:36,"6:30前到灵隐寺 祈福。开门时间随季节、节假日调整。耗时：0.5小时。
7点半到曲院风荷 沿白堤、湖滨、南山路、苏堤(进花港公园)，环湖一周，传统的西湖十景，除了三潭印月在湖中，其他九处全可以看见。耗时：2小时。
9点半到北山街 沿着北山街有岳庙、西博会纪念馆、玛瑙寺及北山路若干历史建筑。耗时：1.5小时。
11点到河坊街 南宋御街、河坊街、鼓楼一带吃各种美食。耗时：1.3小时。
12点半到吴山景区 城隍阁、十二生肖石、江海亭。耗时：1小时。
13点半下山 打车去虎跑、六和塔、钱江大桥、九溪十八涧（省钱可骑车）。耗时：2.5小时。
16点去滨江 亚运大莲花馆、城市之门打卡拍照。耗时：1.5小时。
16点去拱宸桥 小河直街、香积寺一带逛逛、吃饭。耗时：2小时。
17点半到城市阳台 在那边吃晚餐，看灯光秀。
18点去武林夜市、in77，欣赏西湖夜景。
想看三潭映月，可以登雷峰塔，多增加0.5小时。 高强度路程，可以拆分成好几天来的啦。

#人文景点分享 #游玩攻略 #城市风光 #拍照打卡 #游玩 #西湖落日 #一日游 #杭州 #杭州旅游 #国内游旅行攻略",主题标签-历史文化-南宋御街
9,xhs,2b0fecf3-ab6b-4f17-9561-e79af6632cd4,2025-02-19 10:17:36,"本地人极力推荐，除拥挤的西湖，最能代表杭州人文历史、江南韵味和人间烟火的经典City Walk路线：

### 路线一：五柳巷 → 德寿宫 → 胡雪岩故居 → 十五奎巷 → 大马弄 → 馒头山社区 → 南宋御街 → 河坊街

- **五柳巷**：枕河而居，水上巴士7号线梅花碑站就在这里，旧时富人区，充满烟火气，也有一些创意咖啡和甜品店。
  
- **德寿宫**：免费预约，南宋宫殿建筑风貌，奸臣秦桧曾经的居所，适合红墙打卡和古装拍摄。
  
- **胡雪岩故居**：清末第一豪宅，媲美苏式园林，移步易景，适合古装和新中式风格拍照。
  
- **十五奎巷**：“南宋百老汇”，老街老巷老店，感受老杭城的烟火气，这里有杭州地标鼓楼，导航至“巴尔干客栈”，可以打卡网红机位。
  
- **大马弄**：展现老杭州生活百态，烟火气十足，本质上是一个菜市场，有地道美食葱包烩、春卷、油墩儿等。
  
- **馒头山社区**：有老底子杭州的人文气息，也适合日韩系人像、街拍，还有几个创意园区很出片。
  
- **南宋御街**：皇室巡游大道，杭州的“万国建筑博物馆”。

### 路线二：桥西历史街区 → 小河直街 → 大兜路历史街区

- **桥西历史街区**：杭州地标拱宸桥和千年京杭大运河，小小街区藏着运河、伞、扇、手工艺、刀/剪/剑五大博物馆，全免费，9:00-16:30开放，周一闭馆。
  
- **小河直街**：杭州网红街区，小桥流水，白墙黛瓦，下雨时特有江南意境，这里有许多网红店，隔壁是国际著名建筑师隈研吾作品、浓浓工业风的小河公园，青草地+油罐+废旧厂房很出片。
  
- **大兜路历史街区**：有许多古建、文创店、咖啡馆和精致餐厅，香积寺也在这里，宋韵配古装很出片。

两条线路分别耗时约半天，最适合一日游，可选择性游玩。景点间距离很近，可以选择步行或骑行，也可以反着走！

快乐旅行，暴瘦暴瘦🏋️

关注我，了解更多📱

#杭州周末去哪# #江浙旅游# #CityWalk# #小河直街# #桥西历史街区# #大兜路历史街区# #馒头山社区# #老街# #周末遛娃# #小众旅行地# #徒步# #杭州同城活动# #记录我的城市# #小众旅游# #一日游# #周末好去处#",主题标签-历史文化-南宋御街
10,xhs,0c9dd4bc-5bc6-4aba-837b-9fa8178d9cd0,2025-02-19 10:17:36,"春节倒计时！杭州的春节氛围非常浓厚！这里分享三条年味Citywalk路线。过年不回家的朋友们可以直接参考，一起感受杭州的年味慢生活。

路线1：地铁吴山广场站 ➡️ 大井巷 ➡️ 南宋御街 ➡️ 鼓楼 ➡️ 大马弄 ➡️ 德寿宫 ➡️ 五柳巷。这条路线充满市井年味。在大马弄感受老杭州的烟火气，大井巷有咖啡一条街，德寿宫的红墙年味十足，还有2025年落叶装置，非常适合拍照打卡。

路线2：香积寺 ➡️ 大兜路 ➡️ 小河直街 ➡️ 小河公园 ➡️ 拱宸桥 ➡️ 桥西历史街区。这是一条运河Citywalk路线，沿途都是红红火火的新年装饰。先去香积寺祈福，再沿着运河慢慢逛。大兜路文艺小资，小河直街适合簪花拍照，拱宸桥更是标志性建筑。春节逛大运河，寓意着来年走大运。

路线3：萧然山街 ➡️ 五七公社 ➡️ 东巢创意园区。这是一条人少且小众的宝藏路线，一口气连逛三个创意园区。建议下午4点后前来，可以看落日，享受蓝调时刻，灯光亮起后，集市会变得热闹起来。

在逛吃的过程中，来一杯热气腾腾的奶茶再合适不过了。爷爷不泡茶春节期间推出的新品，不加糖更好喝，过年畅饮无“腹”担。

### 爷爷不泡茶新品推荐

**云雾深山**：成分超简单，精选1200米高山上的红茶，搭配上纯牛奶，茶香与奶香平衡得恰到好处。即使是喜欢甜食的人也会觉得不加糖更好喝，茶味浓郁，口感醇厚，仿佛置身于云雾缭绕的深山茶园之中。

**红玫瑰**：第一次尝试到如此明显的玫瑰味奶茶，花香调令人惊艳。据说使用的是云南大理重瓣玫瑰提取液，并且还可以嚼到真实的玫瑰花瓣，一口下去仿佛置身于花海之中，口齿留香。

### 新品福利
- 1月15日起，购买两杯大杯新品（云雾深山+红玫瑰），可领取巳巳如意香卡一个。
- 1月15日起，购买任意中杯单杯（云雾深山/红玫瑰/珍珠红）+3.9元得巳巳如意香卡一个。

快来店里尝尝这些新品吧！",主题标签-历史文化-南宋御街
