title,desc,tags
除了西湖，杭州还有这条运河citywalk路线,起点:拱宸桥西码头→终点:小河直街 1️⃣拱宸桥 ·杭州运河地标，站在桥上俯瞰运河船只往来，感受千年运河的流动历史。 2️⃣桥西历史街区 ·青石板路、白墙黛瓦的老建筑群，分布着中国刀剪剑博物馆、中国伞博物馆、中国扇博物馆(免费，周一闭馆)，可深入了解非遗文化。 3️⃣运河手工艺活态馆 ·体验传统手作(油纸伞、竹编、陶艺等)，适合亲子或文艺爱好者。 4️⃣小河直街 ·沿运河步行约15分钟抵达，文艺小店、咖啡馆、茶馆林立，推荐打卡「大橘家咖啡馆」「小河无名面馆」，感受老街慢时光。 	 #杭州旅游[话题]# #杭州旅游攻略[话题]# #杭州运河[话题]# #chinatravel[话题]# #citywalk[话题]# #西湖[话题]# #杭州周末去哪儿[话题]# #城市小众打卡地[话题]# #小河直街[话题]# #桥西直街[话题]#,"杭州旅游, 杭州旅游攻略, 杭州运河, chinatravel, citywalk, 西湖, 杭州周末去哪儿, 城市小众打卡地, 小河直街, 桥西直街"
实话确实难听，但这就是杭州旅游现状,作为在杭州生活几十年的杭州人，说点杭州旅游的大实话吧 写给想要来杭州旅游的小伙伴们！ 1、杭州真的不适合走马观花的特种兵式旅游，如果可以，需要慢一点去品味杭州的美，结合历史、人文、景色会有更好的体验 	 2、一般来杭州玩的人都会去苏堤白堤等外西湖，人又多，且相对美景少，推荐乌龟潭-浴鹄湾-花港观鱼这一条线路，更绿更有意境，会有绿野仙踪的感觉 	 3、想去灵隐寺是需要买两个票的，飞来峰景区和灵隐寺的两个票，因为这是两个公司管理的 	 4、河坊街、小河直街这些地方人多，商业化严重，不用很仔细玩，游览一下就可以 	 5、茅家埠、龙井村、九溪这些地方很适合citywalk，但是看天气，夏天会非常热 	 6、杭州博物馆很多，很好逛，丝绸博物馆、良渚博物馆、之江新开的浙江博物馆，不花钱就可以看但注意预约时间 	 7、良渚适合抽一天游览，离主城区比较远，但是整体氛围感很不错 	 8、杭州的食物可以说吃不惯，但是说美食荒漠真的很没有礼貌，好吃的有，没有必要上来就玩梗，杭州菜不是只有西湖醋鱼 	 9、杭州的甜品面包非常好吃！富贵面包公司、黑彩虹、安莎烘焙等，值得去打卡试一下！ 	 10、杭州交通市中心会比较堵，可以的话选择公众交通，共享单车也是不错的选择 	 真心希望每一个来杭州玩的朋友能有个好的旅游体验，杭州值得大家来，感谢大家来 [飞吻R][飞吻R][飞吻R] #民宿[话题]#  #西湖[话题]#  #杭州[话题]#  #旅游[话题]#  #不可错过的美景[话题]#  #旅行推荐官[话题]#  #旅途中的美景[话题]#  #小众景点[话题]#  #杭州美食[话题]#  #杭州旅游[话题]#  #自驾游路线[话题]#  @走走薯  @生活薯,"民宿, 西湖, 杭州, 旅游, 不可错过的美景, 旅行推荐官, 旅途中的美景, 小众景点, 杭州美食, 杭州旅游, 自驾游路线"
比起西湖，我更推荐杭州运河边小众citywalk,第一次来杭州，一定要知道这条小众citywalk 这里藏着杭州的一半历史，一半人间烟火 如果给杭州留2天时间，除了西湖一日游 听我劝：走完这条citywalk杭州才不算白来！ 	 · ✅路线行程 武林门码头—信义坊码头—富义仓—香积寺—大兜路历史文化街区—小河直街—小河公园—桥西历史文化街区—拱宸桥码头-武林门码头-西湖文化广场-武林夜市 	 ⚠️Tips：水上巴士1号线 只用3r就能游遍大运河沿线景点，建议早上提前排队上船占窗边位置！非首发站，途径站点上船，不一定每个班次都有座位！如果这一趟船满员，就要继续等下一趟时间！ 	 . ✅必打卡景点 ❶香积寺 🎫门票：20r（寺庙卡免费） 门口可以看到绝美的古今同框！这里可以吃斋饭！ 	 ❷大兜路历史文化街区 🎫门票：免费 保留了很多清末民初的历史建筑，我拍到了一半仙气一半烟火！ 	 ❸富义仓遗址公园 🎫门票：免费 有天下粮仓之称，现在内部不定期举办各种展览 	 ❹小河直街 🎫门票：免费 极具江南水乡韵味的建筑，手作/咖啡/茶馆二文 艺氛围感满满💯 	 ❺小河公园 🎫门票：免费 浓浓现代工业风的油罐建筑，是日本建筑大师隈研吾团队设计，由小河油库改建而成。本地人zui爱逛的公园！ 	 ❻桥西历史文化街区 🎫门票：免费 藏着杭州近现代百年工业发展故事，来这里寻找街巷里弄的人间烟火。一口气逛完6个博物馆，还能一路集齐盖章！ 	 . ✅住宿 我们入住了「杭州纳德世家大酒店」交通非常便捷，距离游玩西湖&大运河都很近，湖景房站在窗边一眼能看到西湖！堪称市中心的性价比之王！不得不说：酒店提供的自助餐打破了我对杭州美食的印象！海鲜自由！甜品自由！中式菜品口味也很👍一楼还有新中式下午茶，真的很惬意～ . #杭州周末去哪儿[话题]# #周末去哪儿[话题]# #杭州Citywalk[话题]# #杭州[话题]# #杭州旅游[话题]# #杭州拍照[话题]# #京杭大运河杭州景区[话题]# #杭州周末好去处[话题]# #周末好去处[话题]# #国庆节旅游[话题]# #国庆去哪儿玩[话题]# #国庆旅游攻略[话题]# #旅游攻略[话题]# #杭州旅行[话题]# #杭州旅行攻略[话题]# #杭州旅遊攻略[话题]# #家门口也有好风景[话题]# #不懂就问有问必答[话题]# #分享一次住宿体验[话题]#,"杭州周末去哪儿, 周末去哪儿, 杭州Citywalk, 杭州, 杭州旅游, 杭州拍照, 京杭大运河杭州景区, 杭州周末好去处, 周末好去处, 国庆节旅游, 国庆去哪儿玩, 国庆旅游攻略, 旅游攻略, 杭州旅行, 杭州旅行攻略, 杭州旅遊攻略, 家门口也有好风景, 不懂就问有问必答, 分享一次住宿体验"
除了去西湖，我还建议你走运河citywalk路线,来杭州，除了去#西湖[话题]# 我还建议你来#京杭大运河[话题]# 这里没有#河坊街[话题]# 那么嘈杂，很安逸 这里有很多特色的历史街区 白墙黛瓦，青石板路，小巷深深 这里可以满足你对老杭州历史文化的所有幻想 . 🤣但是大运河这么长，怎么玩才能玩到精华呢 本地人都说好的一日游攻略来啦👍 . 👉一日游路线： 3r的运河水上巴士+运河citywalk . ❤️怎么去 🚇地铁1号线闸弄口地铁站D口出 步行几分钟到达濮家站 坐3元水上巴士1号线，从濮家码头-拱宸桥 . [向右R]Citywalk路线 中国大运河博物馆（运河广场）-拱宸桥-桥西历史街区-中国伞，刀剪剑博物馆-小河直街-小河公园-大兜路历史街区-香积寺-富义仓-胜利河美食街 . ❤️关于景点 [一R]#杭州京杭大运河水上巴士1号线[话题]# ⏰：7点-17点55 💰：3r（上船买票） . [二R]#杭州京杭大运河博物馆[话题]# 免费 ⏰9;00-16;00 周一闭馆 展示了从北京到杭州一路上运河的风景， 可以深度了解大运河的历史文化和风土人情 . [三R]#拱宸桥[话题]# 一座拱宸桥，半部杭州史 这里是京杭大运河的起点，承载了杭州的历史 . [四R]#桥西历史街区[话题]# 这里保留了原汁原味的清末民初建筑 有很多特色小店 不要错过中国伞博物馆和刀剪剑博物馆，适合带娃涨知识 🌟博物馆周一周二闭馆，不要跑空了 . [五R]#小河直街[话题]# 这里青石板路，小巷深深 很多有特色的小店，也有很多猫咖，适合撸猫看景 . [六R]#小河公园[话题]# 这里原来是小河油库 后面被改成一个工业风公园 很适合带娃玩 . [七R]#大兜路历史街区[话题]# 沿街很多文艺小店和咖啡馆，很适合在这感受慢时光 . [八R]#香积寺[话题]# 国内wei一供奉有食神的寺庙，素斋一绝 . [九R]#富义仓[话题]# 这里是杭州现存wei一的粮仓 很适合在这发呆看景 . [一R][零R]#胜利河美食街[话题]# 17：00-2点 夜宵好去处，有烧烤，火锅，大排档，各种店铺 [点赞R]：脆皮年糕，烤猪蹄，烤扇贝，火锅，海鲜 . ‼️注意 [一R]如果要去博物馆，可早点出发，这样一天可逛运河边4个博物馆，还不累 . [二R]整条运河citywalk路线共5小时左右，都免费 一路都有美食，文艺小店，很适合度过悠闲慢时光 . [三R]水上巴士，上船买票，票价3r，不要弄错了 . 我是多宝妈妈，关 注 我，带你玩杭州 . #我的私藏旅行路线[话题]# #杭州旅游[话题]# #杭州旅行[话题]# #杭州周末去哪儿[话题]# #杭州[话题]# #杭州拍照[话题]# #杭州老街[话题]# #西湖美景[话题]# . #你喜欢运河哪个景点 [投票]#,"西湖, 京杭大运河, 河坊街, 杭州京杭大运河水上巴士1号线, 杭州京杭大运河博物馆, 拱宸桥, 桥西历史街区, 小河直街, 小河公园, 大兜路历史街区, 香积寺, 富义仓, 胜利河美食街, 我的私藏旅行路线, 杭州旅游, 杭州旅行, 杭州周末去哪儿, 杭州, 杭州拍照, 杭州老街, 西湖美景"
比起西湖，我更推荐这条运河小众citywalk‼️,第一次来杭州，除了西湖，推荐这条小众citywalk 一条运河线  半部杭州史 这里有小桥流水、文艺小店 有老杭州的烟火气 最近还有凌霄花绽放 	 ～ 🍭推荐路线： 香积寺 → 大兜路历史街区 →  桥西历史文化街区 → 小河公园 → 小河直街 	 1️⃣ 香积寺 北宋古庙，隐于闹市。寺庙建筑唐宋之风，比较清净，适合祈福许愿； 🕰️开放时间：8:00-17:00 🎫门票：20，寺庙卡🆓 	 2️⃣ 大兜路历史街区 香积寺出门右转就到了，边上就是大运河。绿树成荫，还有市集。逛累了看看运河风光，喝喝咖啡； 	 3️⃣ 桥西历史文化街区 经过大名鼎鼎的拱宸桥，就到桥西历史街区了。街道两旁是各种工艺小店。古街小巷，很有烟火气，最近凌霄花也开了； ✅历史展馆： 大运河博物馆 中国伞博物馆 中国扇博物馆 刀剑剪博物馆 	 4️⃣ 小河公园 工业风艺术公园，废旧油罐改造的建筑群，很有特色。溜自己遛娃都很不错； 	 5️⃣ 小河直街 文艺宝藏老街，有三条小街可以溜达。小店都布置得很有趣，拍照打卡够好看。晚上的小河直街也别有一番光彩； 	 #被低估的宝藏小城[话题]# #去班味小城[话题]# #杭州旅游[话题]# #旅行随地大小拍[话题]# #旅行攻略[话题]# #周末去哪儿[话题]# #杭州[话题]# #江浙沪周边游[话题]# #citywalk[话题]# #杭州拍照[话题]#,"被低估的宝藏小城, 去班味小城, 杭州旅游, 旅行随地大小拍, 旅行攻略, 周末去哪儿, 杭州, 江浙沪周边游, citywalk, 杭州拍照"
人生建议‼️来杭州一定一定要先看这篇攻略‼️,作为一个在杭州的旅游博主 基本上把这个城市各个角落都打卡了一遍 如果你也想来杭州游玩，那么这份游玩攻略请收好！ 	 ✨Day1：西湖经典一日游 路线：龙翔桥B口--湖滨一公园码头--三潭印月-花港观鱼-太子湾公园-净慈寺-雷峰塔-观光车过苏堤-西冷桥-孤山路-白堤一断桥残雪-武林夜市-凤起路 	 👍tips： -苏堤一定要坐观光车 不然会走断腿 -西泠桥是日落观赏点 很美 	 ✨Day2:灵隐寺法喜寺攻略 🚇黄龙体育中心/ 龙翔桥 这两个地铁站 都有灵隐专线公交🚌 👍tips： -灵隐寺在飞来峰景区里面 两个门票共75r 需要一起买 	 -灵隐寺出口有接驳车 10元到达法喜寺门口很方便 	 -法喜寺有公交站 不建议打车因为很堵 坐1314路公交可回到西湖 	 ✨大运河citywalk路线 香积寺-（步行800米）-大兜路-（步行800米）-小河直街-小河公园-（步行900米）-桥西历史文化街区-（步行400米）拱宸桥 	 👍tips： -香积寺门票20r 寺庙闹中取静很独特 -大兜路比小河直街 人流量更少 古朴文艺 有很多摆摊的市集值得一逛 -小河直街很多簪花店铺 网红咖啡馆 茶馆 -桥西历史文化街区很多博物馆 中国扇博物馆 伞博物馆 刀剪剑博物馆 	 ✨住宿攻略 🏨预算充足的姐妹 住宿可以选择【杭州洲际酒店】 住宿贵一点旅行体验感也更好 江景房的落地玻璃窗，望出去是浩淼的钱塘江 视野开阔 夜间霓虹亮起又是另一番景色 房间设施齐全 酒店紧邻地铁市民中心站 步行可至周边大型购物🛍️商城 观赏钱塘江的城市阳台 真的很方便 	 ✨来杭州旅游的宝子 建议提前在美团上订酒店 热门旅行地经常有福利 上面也经常有折扣很划算！ 美团上搜索【江浙沪111】就可以看到啦！ 	 #美团酒店[话题]# #假日躺倒计划[话题]##我的300个人生酒店[话题]##美团酒店全国旅行地图[话题]##杭州[话题]# #杭州旅游攻略[话题]##西湖攻略[话题]##元旦旅行[话题]##江浙沪旅行[话题]##杭州洲际酒店[话题]#,"美团酒店, 假日躺倒计划, 我的300个人生酒店, 美团酒店全国旅行地图, 杭州, 杭州旅游攻略, 西湖攻略, 元旦旅行, 江浙沪旅行, 杭州洲际酒店"
杭州西湖特种兵一日游，踩过的坑你们别踩了…,无滤镜超真实杭州西湖一日游volg，秋高气爽阳光明媚，让我get到西湖这个季节的美！ ☀️路线： 地铁7⃣️号线到达吴山广场站C口出 ⬇️第一站：柳浪闻莺（🆓免费） ⬇️第二站：路过雷峰塔到净慈寺（🎫10r） ⬇️第三站：苏堤&花港观鱼（🆓免费） ⬇️第四站：岳庙（🎫25r） ⬇️第五站：孤山路，打卡网红转角，浙江省博物馆（🆓免费） ⬇️第六站：沿着白堤走到断桥（🆓免费） ⚠️景区里小卖店买的小吃味道都不怎么样，杭州被称为美食荒漠是被这些店拖后腿了吧[笑哭R] 	 @走走薯 @生活薯 @VLOG薯 @视频薯 #追着秋天去旅行[话题]#  #杭州一日游[话题]# #特种兵一日游[话题]# #西湖美景[话题]# #杭州旅行攻略[话题]# #西湖攻略[话题]##假期去哪玩[话题]# #杭州Citywalk[话题]#,"追着秋天去旅行, 杭州一日游, 特种兵一日游, 西湖美景, 杭州旅行攻略, 西湖攻略, 假期去哪玩, 杭州Citywalk"
杭州本地人，力荐的2条经典citywalk路线‼️,本地人极力推荐，除拥挤的西湖，最能代表杭州人文历史、江南韵味和人间烟火的经典citywalk路线～ 	 ✔️路线一： 五柳巷🔜德寿宫🔜胡雪岩故居🔜十五奎巷🔜大马弄🔜 馒头山社区🔜南宋御街🔜河坊街 	 🔘五柳巷（图5-6） 枕河而居，水上巴士7号线梅花碑站就在这，旧时富人区，充满烟火气，也有一些创艺咖啡和甜品店 	 🔘德寿宫 免费预约，南宋宫殿建筑风貌，奸臣秦桧曾经居所，适合红墙打卡和古装，超出片 	 🔘胡雪岩故居 清末第一豪宅，媲美苏式园林，移步易景，适合古装、新中式 	 🔘十五奎巷（图1-3） “南宋百老汇”，老街老巷老店，感受老杭城烟火气，这里有杭州地标鼓楼，导航“巴尔干客栈”，打卡网红机位 	 🔘大马弄 展现老杭州生活百态，烟火气十足，本质上它是个菜市场，有地道美食葱包烩、春卷、油墩儿 	 🔘馒头山社区（图6-8） 有老底子杭州的人文气息，也适合日韩系人像、街拍，还有几个创意园区很出片 	 🔘南宋御街（图9-13）：皇室巡游大道，杭州的“万国建筑博物馆” 	 ✔️路线二： 桥西历史街区🔜小河直街🔜大兜路历史街区 🔘桥西历史街区 杭州地标拱宸桥和千年京杭大运河，最是江南好风景，小小街区藏着运河、伞、扇、手工艺、刀/剪/剑5大博物馆！全免费9:00-16:30开放，周一闭馆 	 🔘小河直街（图14-15） 杭州网红街区，小桥流水，白墙黛瓦，下雨时特有江南意境，大约林俊杰的《江南》和周杰伦的《青花瓷》唱的就是这吧～这里有超多的网红店，隔壁是国际著名建筑师隈妍吾作品、浓浓工业风的【小河公园】，青草地+油罐➕废旧厂房很出片 	 🔘大兜路历史街区（图16-18） 有许多古建、文创店、咖啡馆和精致餐厅，【香积寺】也在这，宋韵配古装很出片~ 	 2条线分别耗时约半天，最适合一日游，可选择性玩，景点间很近，可步可骑，也能反着走！ 	 快乐旅行 暴瘦暴瘦🏋️ 关🐷我  了解更多📱 	 #杭州周末去哪[话题]##江浙旅游[话题]##日citywalk[话题]##小河直街[话题]##桥西历史街区[话题]##大兜路历史街区[话题]##馒头山社区[话题]##老街[话题]##周末遛娃[话题]##小众旅行地[话题]##徒步[话题]##杭州同城活动[话题]##小众旅行地[话题]# #笔记灵感[话题]# #一日游[话题]# #周末好去处[话题]# #记录我的城市[话题]# #小众旅游[话题]#,"杭州周末去哪, 江浙旅游, 日citywalk, 小河直街, 桥西历史街区, 大兜路历史街区, 馒头山社区, 老街, 周末遛娃, 小众旅行地, 徒步, 杭州同城活动, 笔记灵感, 一日游, 周末好去处, 记录我的城市, 小众旅游"
来杭州CityWalk｜我更推荐8条宝藏路线给你‼️,#假期去哪玩[话题]# 如果你是Di一次来杭州，除了经典的西湖一日游，👍🏻我tui荐你西湖边不一样的city walk路线，感受杭州的历史、人文、美景、烟火气🍃一年四季逛不厌‼️ 	 ✅文化底蕴✅历史遗迹✅带娃一日游 	 1️⃣灵隐祈福线：众多古刹的中式美学⛩️ 法喜寺➡️法净寺➡️灵隐寺➡️永福寺➡️韬光寺➡️灵顺寺🌟🌟🌟🌟 人生哪能多如意，万事只求半称心，带着美好祝福求shi来运zhuan。 	 2️⃣京杭运河线：感受运河历史文化🛳️ 武林门➡️拱宸桥➡️桥西历史街区➡️小河历史街区➡️小河直街➡️香积寺🌟🌟🌟🌟🌟 路线藏着5个博物馆（京杭运河、伞、扇、工艺、刀/剪/剑），小河直街发簪🔥，小河公园油罐工艺风满满，带娃感受运河历史文化。 	 3️⃣环游西湖线：群山环湖浪漫游🏞️ 湖滨线➡️白堤线/北山街线➡️苏堤线➡️南山路线🌟🌟🌟 “欲把西湖比西子”，西湖的美，一句话说不完，只有自己亲临感受。 	 4️⃣人文线：杭州文化底蕴📖 胡雪岩故居➡️于谦故居➡️钱王祠➡️章太炎纪念馆➡️苏东坡纪念馆➡️岳王庙➡️jiang经国旧居➡️沙孟海故居🌟🌟🌟 杭城历史悠久、底蕴深厚，西湖美景自古以来便承载着众多名人的无数诗词歌赋。 	 5️⃣赏桂线：赏桂赏枫茶园轻徒步🍃 石屋洞➡️满觉陇➡️汤屋➡️杨梅岭 ➡️理安寺➡️九溪烟树🌟🌟🌟 不必多说，这条线路再经典不过了。 	 6️⃣南宋遗韵线：杭州小巷烟火气🍜 五柳巷历史街区➡️德寿宫➡️胡雪岩故居➡️鼓楼➡️十五圭巷➡️大马弄➡️馒头山社区🌟🌟🌟🌟 延南宋遗址线，来感受烟火气十足的老杭州吧！ 	 7️⃣绿光森林线：绿色tian然氧吧🌳 杭州植物园➡️云松书舍➡️杭州花圃➡️茅家埠➡️乌龟潭➡️浴鹄湾➡️太子湾公园➡️虎跑公园🌟🌟🌟🌟🌟 隐藏在植物园中的大佛头必打卡，还有白墙屋檐，亭台楼阁，一路看到太多美景，建议收藏起来~ 	 8️⃣良渚线：共赴古今之约🗿 良渚文化村➡️美丽洲教堂➡️美丽洲公园➡️良渚博物院➡️良渚古城遗址公园🌟🌟🌟 带娃来看古遗址的发现、研究以及玉琮、玉钺等文物历史。 	 Hi，我是管哥[举手R] 持续分享99条户外徒步路线！ 🐝关注我，解锁更多旅行好地方！ 9🈷️印迹 | 时刻都要奔赴在热爱里！ #杭州citywalk[话题]# #国庆我要慢慢玩[话题]# #周末去哪儿[话题]# #杭州旅游[话题]#,"假期去哪玩, 杭州citywalk, 国庆我要慢慢玩, 周末去哪儿, 杭州旅游"
小河直街-大兜路🧨新年citywalk路线🗺️,宝子们好哇，我是南乔。 	 最近分享了一些杭州新年旅行攻略，很多人都说很实用！ 这篇是给大家分享杭州年味满满的小河直街-大兜路附近的citywalk路线。 	 新年来杭州玩的宝子们，可以去逛逛小河直街，感受一下杭州人慢悠悠的好时光~对啦对啦，给你们画了详细的路线图哦～在图2 	 🛶citywalk路线（经典版不废腿❗️） 🚇3号线香积寺站－大兜路历史文化街区－小河直街－小河公园－桥西历史街区－拱宸桥－🚇5号线大运河站 	 🛳️水上巴士（🎫3r） 坐［水上巴士1号线］由香积寺斜对面的信义坊码头上船，拱宸桥码头下。白墙黛瓦，绿水行舟，一种说不出来的松弛感～ 	 ✅✅推荐打卡点+出片机位（划重点） [一R]【香积寺】 📿手串：手串特别好看，感兴趣的可以请一串～ 🥗素斋：香积寺的素斋很有名🎫20r，建议尝尝～ 🏮大雄宝殿拍“古今同框很震撼” 	 [二R]【大兜路历史文化街区】 紧挨着香积寺，大兜路有很多装修很棒的咖啡店，遇市集活动时很热闹，满满的烟火气。目前大兜路已经开始有了新年元素，很多人在取景拍照打卡～ 	 [三R]【小河直街】 👇几家比较火的店铺 📍后院有海：环境很很的创意融合菜馆，二楼有个小窗台，拍照📸很出片～ 📍寒烟杂货铺：很有趣的一家店，没事来逛逛，感觉非常好～ 📍摩登主妇：位置在小河公园正中间小油罐，很有文艺气息很好逛，很有创意的小玩意，餐具杯子太可爱了！ 	 [四R]【桥西历史文化街区】 紧邻拱辰桥，挨着三个博物馆（中国扇🪭博物馆、中国伞博物馆、中国刀剑博物馆）免费且不用预约！ 	 [五R]【拱宸桥】 是京杭大运河到杭州的终点，一座拱宸桥，半部杭城史 	 🎈🎈游玩Tips： [一R]全程3公里左右，路线可自由选择，建议穿双舒服的鞋子 [二R]运河巴士不用提前订票，上船可zfb（末班车18:00） [三R]运河边的夜景超美的，一定不要错过[笑哭R] [四R]小河直街簪花店很多，建议找家口碑好点的，价格1-2百，周末人多可能需要排队！ 	 #小河直街[话题]#   #小河直街历史文化街区[话题]#   #citywalk[话题]#   #杭州citywalk[话题]#   #杭州年味[话题]#   #杭州周末去哪儿[话题]#     #杭州周末去哪玩[话题]#   #江浙沪周边游[话题]#   #香积寺[话题]#   #大兜路历史街区[话题]#   #桥西历史街区[话题]#   #大运河[话题]#   #拱宸桥[话题]#,"小河直街, 小河直街历史文化街区, citywalk, 杭州citywalk, 杭州年味, 杭州周末去哪儿, 杭州周末去哪玩, 江浙沪周边游, 香积寺, 大兜路历史街区, 桥西历史街区, 大运河, 拱宸桥"
