title,desc,tags
实话确实难听，但这就是杭州旅游现状,作为在杭州生活几十年的杭州人，说点杭州旅游的大实话吧 写给想要来杭州旅游的小伙伴们！ 1、杭州真的不适合走马观花的特种兵式旅游，如果可以，需要慢一点去品味杭州的美，结合历史、人文、景色会有更好的体验 	 2、一般来杭州玩的人都会去苏堤白堤等外西湖，人又多，且相对美景少，推荐乌龟潭-浴鹄湾-花港观鱼这一条线路，更绿更有意境，会有绿野仙踪的感觉 	 3、想去灵隐寺是需要买两个票的，飞来峰景区和灵隐寺的两个票，因为这是两个公司管理的 	 4、河坊街、小河直街这些地方人多，商业化严重，不用很仔细玩，游览一下就可以 	 5、茅家埠、龙井村、九溪这些地方很适合citywalk，但是看天气，夏天会非常热 	 6、杭州博物馆很多，很好逛，丝绸博物馆、良渚博物馆、之江新开的浙江博物馆，不花钱就可以看但注意预约时间 	 7、良渚适合抽一天游览，离主城区比较远，但是整体氛围感很不错 	 8、杭州的食物可以说吃不惯，但是说美食荒漠真的很没有礼貌，好吃的有，没有必要上来就玩梗，杭州菜不是只有西湖醋鱼 	 9、杭州的甜品面包非常好吃！富贵面包公司、黑彩虹、安莎烘焙等，值得去打卡试一下！ 	 10、杭州交通市中心会比较堵，可以的话选择公众交通，共享单车也是不错的选择 	 真心希望每一个来杭州玩的朋友能有个好的旅游体验，杭州值得大家来，感谢大家来 [飞吻R][飞吻R][飞吻R] #民宿[话题]#  #西湖[话题]#  #杭州[话题]#  #旅游[话题]#  #不可错过的美景[话题]#  #旅行推荐官[话题]#  #旅途中的美景[话题]#  #小众景点[话题]#  #杭州美食[话题]#  #杭州旅游[话题]#  #自驾游路线[话题]#  @走走薯  @生活薯,"民宿, 西湖, 杭州, 旅游, 不可错过的美景, 旅行推荐官, 旅途中的美景, 小众景点, 杭州美食, 杭州旅游, 自驾游路线"
比起西湖，我更推荐杭州运河边小众citywalk,第一次来杭州，一定要知道这条小众citywalk 这里藏着杭州的一半历史，一半人间烟火 如果给杭州留2天时间，除了西湖一日游 听我劝：走完这条citywalk杭州才不算白来！ 	 · ✅路线行程 武林门码头—信义坊码头—富义仓—香积寺—大兜路历史文化街区—小河直街—小河公园—桥西历史文化街区—拱宸桥码头-武林门码头-西湖文化广场-武林夜市 	 ⚠️Tips：水上巴士1号线 只用3r就能游遍大运河沿线景点，建议早上提前排队上船占窗边位置！非首发站，途径站点上船，不一定每个班次都有座位！如果这一趟船满员，就要继续等下一趟时间！ 	 . ✅必打卡景点 ❶香积寺 🎫门票：20r（寺庙卡免费） 门口可以看到绝美的古今同框！这里可以吃斋饭！ 	 ❷大兜路历史文化街区 🎫门票：免费 保留了很多清末民初的历史建筑，我拍到了一半仙气一半烟火！ 	 ❸富义仓遗址公园 🎫门票：免费 有天下粮仓之称，现在内部不定期举办各种展览 	 ❹小河直街 🎫门票：免费 极具江南水乡韵味的建筑，手作/咖啡/茶馆二文 艺氛围感满满💯 	 ❺小河公园 🎫门票：免费 浓浓现代工业风的油罐建筑，是日本建筑大师隈研吾团队设计，由小河油库改建而成。本地人zui爱逛的公园！ 	 ❻桥西历史文化街区 🎫门票：免费 藏着杭州近现代百年工业发展故事，来这里寻找街巷里弄的人间烟火。一口气逛完6个博物馆，还能一路集齐盖章！ 	 . ✅住宿 我们入住了「杭州纳德世家大酒店」交通非常便捷，距离游玩西湖&大运河都很近，湖景房站在窗边一眼能看到西湖！堪称市中心的性价比之王！不得不说：酒店提供的自助餐打破了我对杭州美食的印象！海鲜自由！甜品自由！中式菜品口味也很👍一楼还有新中式下午茶，真的很惬意～ . #杭州周末去哪儿[话题]# #周末去哪儿[话题]# #杭州Citywalk[话题]# #杭州[话题]# #杭州旅游[话题]# #杭州拍照[话题]# #京杭大运河杭州景区[话题]# #杭州周末好去处[话题]# #周末好去处[话题]# #国庆节旅游[话题]# #国庆去哪儿玩[话题]# #国庆旅游攻略[话题]# #旅游攻略[话题]# #杭州旅行[话题]# #杭州旅行攻略[话题]# #杭州旅遊攻略[话题]# #家门口也有好风景[话题]# #不懂就问有问必答[话题]# #分享一次住宿体验[话题]#,"杭州周末去哪儿, 周末去哪儿, 杭州Citywalk, 杭州, 杭州旅游, 杭州拍照, 京杭大运河杭州景区, 杭州周末好去处, 周末好去处, 国庆节旅游, 国庆去哪儿玩, 国庆旅游攻略, 旅游攻略, 杭州旅行, 杭州旅行攻略, 杭州旅遊攻略, 家门口也有好风景, 不懂就问有问必答, 分享一次住宿体验"
真的没人‼️西湖边zui舒服的citywalk路线,#国庆我要慢慢玩[话题]# 西湖的美不仅在于湖 还在于围绕着西湖的群山⛰️ 杭州生活12年 走遍了西湖的角角落落 分享我zui爱的杭州西湖citywalk路线 人少清净，本地人推荐👍🏻 · 📏步行距离：4.5km（5000步） ⏰全程耗时：3.5h（含游玩时间） 🗺️具体路线：如下 · 1️⃣茅家埠→2️⃣郭庄→3️⃣赵公堤→4️⃣云松书舍→5️⃣植物园南门→6️⃣韩美林艺术馆→7️⃣玉泉景点→8️⃣植物园青芝坞门→9️⃣青芝坞 · 1️⃣茅家埠 🎫：免费 西湖后花园，比起人挤人的西湖南线，茅家埠很幽静，这里看西湖有一种自然的野趣 · 2️⃣小西湖郭庄 🎫：10 西湖四大名园之一，比起苏州园林的精巧，郭庄的美更风雅一些，这里可以边喝茶边赏景，独享一片西湖 · 3️⃣赵公堤 🎫：免费 比起大名鼎鼎的苏堤、白堤，宋代而建的赵公堤几乎没人，曲径通幽，绿意盎然 · 4️⃣云松书舍 🎫：免费 金庸先生的私宅，典型的江南园林风格，有苏州园林的影子，却少了三分雕饰，多了三分古朴温润 · 5️⃣植物园 🎫：10 植物园是杭州zui值得逛的景点之一，面积很大人很少，每个季节都有不同的美，现在彼岸花开得正好 · 6️⃣韩美林艺术馆 🎫：免费，包含在植物园门票内 植物园必打卡的机位之一，藏在艺术馆里的巨型佛头，很有宿命感 · 7️⃣玉泉景点 🎫：免费，包含在植物园门票内 亭台楼阁水榭，这里有很多锦鲤，所以又叫玉泉鱼跃，很治愈 · 9️⃣青芝坞 🎫：免费 浙大旁的老杭州社区，有很多家常杭帮菜、私房菜，也有不少民宿 · ⚠️Tips 我是在圆周旅迹上做的行程攻略，真的很爱这个app💗可以精准的显示每个景点之间的距离，推荐的交通方式🚗和大概需要的时间⌚️，还可以直接唤起导航，再也不怕迷路咯。而且还可以导入🍠的攻略，自动生成路线，系统还会帮你优化，简直就是懒人救星👍🏻 · #J人旅行指南[话题]# #圆周旅迹[话题]# #1分钟搞定旅行规划[话题]# #杭州旅游[话题]# #杭州旅行[话题]# #杭州citywalk[话题]# #西湖[话题]# #西湖美景[话题]# #国庆划得来逛吃指南[话题]# #本地人才知道的小众景点[话题]# #秋日浓度播报[话题]# #杭州拍照[话题]#,"国庆我要慢慢玩, J人旅行指南, 圆周旅迹, 1分钟搞定旅行规划, 杭州旅游, 杭州旅行, 杭州citywalk, 西湖, 西湖美景, 国庆划得来逛吃指南, 本地人才知道的小众景点, 秋日浓度播报, 杭州拍照"
杭州citywalk |周末必逛的7条街📍,#周末去哪儿[话题]# 来杭州一定要逛这7条街 逛完这7条街，你会彻底爱上杭州。来杭州不能错过的洗浴中心-海茵汇温泉（滨江店），他们家交通地铁直达，门口就有服务员热情接待。里面的装修富丽堂皇，洗浴区的水质清澈干净，休息区的私密性也不错。在1.22-2.13，某团🔍【欢洗节】🈶8⃣8⃣⭕包，特种兵大学生和月光族都可以体验上有天堂下有苏杭的感受了。 ✅湖滨步行街： ✨关键词：杭州蕞繁华，紧挨着西湖，逛街超方便 ❗游玩小 Tips：别开车来，堵，停车费也很高 📍地址：上城区凤起路539-4号 ✅ 三墩老街 ✨关键词：很有杭州老底子味道的老街，很多美食店铺 📍李馆长深夜食堂干煸小龙虾 🧭金庄路紫金生活广场院内4幢1楼，特色干煸小龙虾，花雕冰镇精品大虾，特色大油边，炭烤鸦片鱼尾等等配这小啤酒🍻 ✅河坊街： ✨关键词：口碑争议。免费试吃 ❗游玩小 Tips：人多，注意防晒 📍地址：上城区河坊街180号 ✅武林女人街： 关键词：晚上蕞热闹。潮流年轻人都爱来这儿喜欢逛夜市的别错过 ❗游玩小 Tips：别带女朋友来，不然钱包会瘪哦 📍地址：拱墅区武林路299号 ✅南宋御街： ✨关键词：杭城蕞宋代。南宋的皇城根儿在这儿还 有数不尽的网红打卡 📍地址：上城区中山中路192号 ✅小河直街： ✨关键词：古风蕞好拍。每家店铺都很精美，文艺青年都爱来这里，记得带上志趣相投的人 ❗游玩小 Tips：别带上猪队友，不然会被气哭哦 📍地址：拱墅区小河直街51 ✅武林美食街： ✨时间：17:00- 22:00 美食、手作、手工艺应有尽有，让人眼花缭乱。灯光、餐车都做了相应升级，氛围感十足。夜市左边的武林路，也多了很多有趣的摊位，咖啡、路边酒吧、各种可爱的车车摊位，太好逛了。 夜市的摊位主要售卖小吃甜品、手工艺品等。小吃有葱包烩（杭州传统美食，必须尝尝） 📍地铁：2号线凤起路站 E 口步行320米 #国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]# @小红书创作助手 @小红书创作学院 @小红书成长笔记#干煸小龙虾[话题]##杭州小龙虾[话题]##李馆长深夜食堂[话题]# #国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]#,"周末去哪儿, 国庆, 杭州, 旅游, 笔记灵感, 攻略, 杭州旅游攻略, 杭州周边游, 干煸小龙虾, 杭州小龙虾, 李馆长深夜食堂"
五一避开人挤人‼️一天打卡杭州8个免费景点,除了去西湖、去灵隐寺，还有一条私藏许久的citywalk路线 花一天时间，既能乘坐zui美水上巴士，又能逛吃老杭州感受市井气息，这条避开人流的小众路线赶快收藏好哦！ （⚠️文字攻略在最后） ………… 「CityWalk一日游路线」 坝子桥➟梅花碑➟五柳巷➟德寿宫➟十五奎巷➟大马弄➟鼓楼➟南宋御街➟河坊街 ………… 「关于住宿」 可以选择这三个地方： ①湖滨步行街 ②河坊街 ③黄龙广场 PS：无论是交通还是吃饭都很方便，距离西湖、河坊街非常近 ………… ►►►第1站：水上巴士7号线◄◄◄ 地铁5号线「宝善桥A2口」或者公交「莫衙营站」下车 步行200米抵达「坝子桥水上巴士站」 🎫船票：3r/人，上船刷卡 🚢8人一船（小船），下午16:00那班能坐24人（大船） 	 ►►►第2站：五柳巷◄◄◄ 从梅花碑下船步行5min到五柳巷，沿河而建，一侧是绿荫小路，一侧是老城生活区，充斥着老杭州的市井气息 有几处美食可以打卡： ❶游埠豆浆：咸豆浆、油条、烧饼 ❷金华酥饼：梅干菜烧饼 ❸赵宝美点心店：小馄饨、葱煎包 	 ►►►第3站：德寿宫◄◄◄ 整个场馆分地上和地下两部分，相比较修缮一新的地上宫殿，我geng喜欢地下的慈福宫遗址和重华殿 🎫门票：免费 ⏰开放时间：09:30—17:00 📢公益讲解：上午10:30，下午14:30（游客中心集合） ～必看的两场数字影像（时⌚️间表见视频）～ 	 ►►►第4站：十五奎巷◄◄◄ 解锁拍照机位📍巴尔干客栈（十五奎巷的晓霞弄） 这里能拍到小巷子与望仙阁同框照片～ 	 ►►►第5站：大马弄◄◄◄ 步行5分钟到大马弄，寻找藏在菜市场里的杭州味道 ❶蒋师傅酥鱼 ❷周萍粽子 ❸菊英面店 ❹侯大姐葱包烩 ❺小王油墩儿 ❻素烧鹅 	 ►►►第6站：鼓楼◄◄◄ 临近傍晚，从大马弄步行10分钟抵达鼓楼，比起白天的模样，夜幕下的鼓楼更有感觉 古色古香的建筑配上红色灯笼和盘旋着的金色祥龙，福气满分！ 	 ►►►第7站：南宋御街◄◄◄ 穿过鼓楼，进入清河坊，比起热闹的街巷，我更喜欢呆在「猫空」这样的地方， 	 ►►►第8站：河坊街◄◄◄ 与南宋御街交叉的东西向老街「清河坊」，是杭州唯一保存完整的旧街区 逛完清河坊，可以到旁边的高银街，有很多杭帮菜的餐馆 #五一怎么办[话题]#  #旅游攻略编辑部[话题]#  #五一不扎堆指南[话题]#  #来我家乡玩一天[话题]#  #杭州旅行[话题]#  #杭州旅行攻略[话题]#  #西湖[话题]#  #灵隐寺[话题]#  #京杭大运河[话题]#  #我要反向旅游[话题]#,"五一怎么办, 旅游攻略编辑部, 五一不扎堆指南, 来我家乡玩一天, 杭州旅行, 杭州旅行攻略, 西湖, 灵隐寺, 京杭大运河, 我要反向旅游"
杭州萍水街citywalk，逛吃逛喝攻略(详细版),在拱墅区萍水街和朋友暴走街头8小时，打卡12家店！！！真是一场酣畅淋漓的citywalk🚶 每家店都很好喝好吃，不踩雷！ ‼️路线图放在最后一张，P人进来抄作业!✍️ （不走回头路） - 🗺路线： 🚇萍水街C口出➡marufuwa➡海绵客厅➡moon cafe➡澄沙ann➡囤囤馒头商店➡Flaoting&Ciao's➡人生无限公司➡城西银泰➡巧可栗栗➡慢熟➡甜包谷➡细冰➡立文夏➡朝麦 - 🥖面包店： 👉marufuwa🌟🌟🌟🌟 日式面包店，比起面包更喜欢她家logo。在店里等面包的时候外卖单真的是络绎不绝。 👉囤囤馒头商店🌟🌟🌟🌟🌟 很有创意的馒头店，店面装潢设计很适合拍照打卡！可以现场蒸馒头尝味道。 👉 Flaoting&Ciao's 🌟🌟🌟🌟 窗边的吧台看外面风景感觉很惬意，有几款蛋糕是jellycat的样子，看着就很可口。 👉慢熟🌟🌟🌟🌟 街边社区面包店，又韩又美拉德。她家红豆碱水看着就很有食欲，周边也很可爱。 👉甜包谷🌟🌟🌟🌟 感觉是一家没被挖掘出来的宝藏店铺，面包种类超级多。 👉朝麦🌟🌟🌟🌟 喜欢古早蛋糕的，可以来尝一尝，路过的时候味道实在太香了。 - 🍮甜品店： 👉海绵客厅🌟🌟🌟🌟🌟 到门口了没进去探店，有点可惜。这家蛋糕🍰真的是没差评，都说好吃。 👉澄沙🌟🌟🌟🌟🌟 布丁巴菲好看好吃，就是价格有点小贵。 👉巧克栗栗🌟🌟🌟🌟 是会带爱吃巧克力的朋友去的店，巧克力都很漂亮，送人当伴手礼都很适合。 👉细冰🌟🌟🌟🌟 citywalk一路，吃个刨冰🍧真的被拯救了！ - ☕️咖啡： 👉moon cafe🌟🌟🌟🌟🌟 店面很大，装修很有格调，还挺适合拍照🤳推荐百香果气泡水！很适合夏天！ 👉其他 丰潭街上有很多家店，sheep sheep、自在乐土、hobo barkey（这家网红店，超多人打卡） - 🍽️简餐： 👉人生无限公司🌟🌟🌟🌟🌟 很适合来吃个brunch，食物装盘拍着很好看。下次会来尝试一下。 👉立文春🌟🌟🌟🌟🌟 实惠又好吃，吃过好几次，都没踩雷过。 	 #杭州citywalk[话题]# #杭州探店[话题]# #周末去哪儿[话题]# #杭州咖啡店探店[话题]#  #杭州面包店[话题]# #萍水街[话题]# #城市探寻计划[话题]# #跟我来探店[话题]# #宝藏小店[话题]# #探店打卡[话题]# @薯队长 @本地薯  @吃货薯 @生活薯  @日常薯,"杭州citywalk, 杭州探店, 周末去哪儿, 杭州咖啡店探店, 杭州面包店, 萍水街, 城市探寻计划, 跟我来探店, 宝藏小店, 探店打卡"
这条citywalk路线，又浪漫又好吃又好逛❤️,这条路线连接了杭州经典景点，跟着这份攻略走，既可以欣赏风景，又可以逛街，还可以享受美食，超适合家人／闺蜜／情侣噢[赞R] 	 [打卡R]【路线：大马弄→十五奎巷→南宋御街→西湖天地→湖滨银泰→武林夜市】[打卡R]地图见p7 	 第[一R]站｜大马弄 大马弄的市集值得一看。在这里，你能看到许多老人在这晒太阳、买菜，如果想要感受杭州本土风土人情，来这里看看市集准没错。 可品尝美食：酥鱼、油墩子、葱包烩、粽子、馄饨 	 第[二R]站｜十五奎巷 这里是皇城脚下的老杭州居民区，导航到“巴尔干客栈”可以找到p2的机位。 	 第[三R]站｜南宋御街 不花钱指南[满月R]：南宋御街里有很多店都能试吃试喝，是能吃饱的程度。这里大力推荐一下南宋胡记和布兰兔的试吃试喝，味道极棒[满月R][满月R] 	 第[四R]站｜涌金广场、西湖天地 从南宋御街出来，可导航至西湖天地，沿着西湖大道步行可达。抵达西湖天地后可沿湖边走，别有一番风景，尤其是夕阳西下时。 	 第[五R]站｜湖滨银泰 从西湖天地沿湖一路步行至湖滨银泰，晚上7：30可观看西湖音乐喷泉（免费）。 	 第[六R]站｜武林夜市 几乎所有品牌奶茶店都在这。这里的摊位有小吃、小饰品、香薰等等，好逛！ #过年[话题]#  #杭州[话题]# #杭州旅游[话题]# #周末[话题]# #徒步[话题]# #假日citywalk[话题]# #我的旅行故事[话题]# #游记[话题]# #城市摄影[话题]# #旅游[话题]# #周末去哪儿[话题]# #国内旅游日常[话题]# #人文景点分享[话题]# #美食日常[话题]#,"过年, 杭州, 杭州旅游, 周末, 徒步, 假日citywalk, 我的旅行故事, 游记, 城市摄影, 旅游, 周末去哪儿, 国内旅游日常, 人文景点分享, 美食日常"
🔥杭州西湖CityWalk必吃的7️⃣家店（附地址）,这些开了多年的老字号小吃和小破🪰苍蝇馆子！！ 都是杭漂十几年间一直自费吃过N次的！希望能帮到大家！ 基本都靠近地铁龙翔桥站🚇！记得收藏好地址哦！！ 	 1️⃣泮芳春煎饺（鼓楼店） 📍中山南路479号 杭州坠便宜米其林餐厅，🥟煎饺💰1/个➕拌面🍜 💰7/碗 2️⃣知味观 📍仁和路83号 💁杭州当之无愧的老字号！很多分店，湖滨的这家是总店 3️⃣李犟大爆鳝面 📍延安路179号 西湖边的老底子非遗美食，西湖百米内，真西湖边面馆 4️⃣绝美嘉海鲜馄饨（武林店） 📍天水街道万寿亭街31号 1️⃣0️⃣年老店了，分店好几家，推荐过很多人去吃他们家的砂锅馄饨煲，都称赞！ 5️⃣富春王记烧饼（中山中路总店） 📍中山中路399-1号 十年小破店，老板靠着做饼买了好几套房了！多数时间都要排队。 6️⃣小白餐馆 📍光复路122号附近日新桥弄2号 藏在巷子里的小破店，开了二十年！专做附近居民生意，好吃不贵！ 7️⃣三毛烧烤（邮电路店） 📍上城区邮电路5号 西湖附近开了三十多年的烧烤店，真的反复吃了十几年，营业至凌晨2点，是我的私藏夜宵地！！ #大声安利本地美食[话题]# #杭州旅游[话题]# #杭州美食[话题]# #杭州攻略[话题]# #杭州旅游吃什么[话题]# #宝藏餐厅分享[话题]# #平价美食[话题]# #城市探寻计划[话题]# #西湖[话题]#  #杭州吃喝玩乐[话题]# #周末去哪儿[话题]# #西湖边美食[话题]##杭州美食我来推[话题]# #小吃[话题]##西湖美食[话题]# #大家觉得杭州是美食荒漠吗？[PK]#,"大声安利本地美食, 杭州旅游, 杭州美食, 杭州攻略, 杭州旅游吃什么, 宝藏餐厅分享, 平价美食, 城市探寻计划, 西湖, 杭州吃喝玩乐, 周末去哪儿, 西湖边美食, 杭州美食我来推, 小吃, 西湖美食"
杭州citywalk🚶 暴走3w步·必逛的2️⃣条路线,周末在杭州玩，一定不要错过这2条宝藏文艺citywalk路线 武林路-狮虎桥路-孩儿巷-中山北路-屏风街 打卡攻略： ✅地铁到武林广场，先去cheese me起司咩热狗店，好韩的店；再去武林路女人街，好多咖啡馆和精致女装店，皇后公园也重开了，还有复古市集可以逛。 ✅狮虎桥路：路的尽头就是巨大的扭蛋机，还有好多网红古着店，每一家都好逛。 ✅孩儿巷：hin安静的小巷，许多咖啡馆和有意思的小店，可以去逛逛陆游纪念馆还有橡皮文具店，还有新开的猫森商店，好多可爱的宝贝； ✅中山北路：宝藏一条街，好多喜欢的小店，很chill的地方，在杭州经常会去逛一逛。 ✅屏风街：和中山北路是连通的，hin宝藏的一条街，面包咖啡店，都好喜欢。 · 萍水街 城西zui宝藏的一条街，囤囤馒头店/小吃店/面包和咖啡店，每一家都好有特色，立文春/立文夏都是chao适合一人食的小店，特别适合周末来闲逛。 · 杭州天气越来越热了，出门都要随身携带水杯吨吨狂饮，这次出行带上了哈尔斯元气泡饮杯，有chao大的独立茶仓，茶水分离的快乐瞬间就get了，泡水果茶，或者花茶都hin合适，还是和ROY6联名哒，贴纸都好可爱呀，杯子立马就生动了起来；夏天一定要多喝水呀～ #周末去哪儿[话题]##杭州citywalk[话题]# #杭州拍照[话题]# #杭州旅行[话题]# #杭州旅行[话题]# #周末打卡[话题]# #哈尔斯[话题]#,"周末去哪儿, 杭州citywalk, 杭州拍照, 杭州旅行, 周末打卡, 哈尔斯"
杭州！西湖附近！这条街好多有意思的小店！,#国庆划得来逛吃指南[话题]# #杭州西湖旅游[话题]# #杭州[话题]# #杭州旅游[话题]# #杭州拍照[话题]# #杭州旅游攻略[话题]# #杭州下午茶[话题]# #杭州美食[话题]# #杭州美食攻略[话题]# #杭州citywalk[话题]#,"国庆划得来逛吃指南, 杭州西湖旅游, 杭州, 杭州旅游, 杭州拍照, 杭州旅游攻略, 杭州下午茶, 杭州美食, 杭州美食攻略, 杭州citywalk"
