title,desc,tags
离谱 不愧是国家森林城市哈,就西湖边一个小小的过街通道 就美的有点犯规了 之所以这么好看，是因为玻璃顶面被擦的很干净 杭州真的是一座在细节上就让人很喜欢的城市 杭州的绿，绿的太舒服了 充满了治愈感 每天都能获得新的惊喜就是了 从这边走到西湖的南山路 就是一大片高大的梧桐树，国美就在附近 散步真的很舒服 	 拍摄建议：手机拍或者带广角的镜头，最好是中午有阳光的时候去～会收获绝美的夏天感觉 下雨天也不错，雨落在屋顶上形成一个一个的圆圈，很有氛围感 	 位置：杭州定安路涌金门地下通道 	 大之喵：一个善于探索城市的旅行者 	 #记录我的城市[话题]# #自然风光分享[话题]# #假日citywalk[话题]# #杭州旅游[话题]#  #西湖[话题]# #浪漫生活的记录者[话题]# #周末去哪儿[话题]# #治愈系[话题]# #氛围感[话题]##暑你会晒[话题]#,"记录我的城市, 自然风光分享, 假日citywalk, 杭州旅游, 西湖, 浪漫生活的记录者, 周末去哪儿, 治愈系, 氛围感, 暑你会晒"
除了西湖，杭州还有这条运河citywalk路线,起点:拱宸桥西码头→终点:小河直街 1️⃣拱宸桥 ·杭州运河地标，站在桥上俯瞰运河船只往来，感受千年运河的流动历史。 2️⃣桥西历史街区 ·青石板路、白墙黛瓦的老建筑群，分布着中国刀剪剑博物馆、中国伞博物馆、中国扇博物馆(免费，周一闭馆)，可深入了解非遗文化。 3️⃣运河手工艺活态馆 ·体验传统手作(油纸伞、竹编、陶艺等)，适合亲子或文艺爱好者。 4️⃣小河直街 ·沿运河步行约15分钟抵达，文艺小店、咖啡馆、茶馆林立，推荐打卡「大橘家咖啡馆」「小河无名面馆」，感受老街慢时光。 	 #杭州旅游[话题]# #杭州旅游攻略[话题]# #杭州运河[话题]# #chinatravel[话题]# #citywalk[话题]# #西湖[话题]# #杭州周末去哪儿[话题]# #城市小众打卡地[话题]# #小河直街[话题]# #桥西直街[话题]#,"杭州旅游, 杭州旅游攻略, 杭州运河, chinatravel, citywalk, 西湖, 杭州周末去哪儿, 城市小众打卡地, 小河直街, 桥西直街"
暴走3w步血泪总结！来杭州逛1条街📍中山北路,. 一条文艺宝藏可爱🎀🌍随便逛快乐citywalk线路 逛完终点是📍西湖～～～ . #大城市小浪漫[话题]# #杭州[话题]# #杭州旅游[话题]# #live[话题]# #周末去哪玩[话题]# #杭州周末去哪儿[话题]# #浪漫生活的记录者[话题]# #是live也是life[话题]# #citywalk[话题]# #hellokitty[话题]#,"大城市小浪漫, 杭州, 杭州旅游, live, 周末去哪玩, 杭州周末去哪儿, 浪漫生活的记录者, 是live也是life, citywalk, hellokitty"
杭州最爱的夜游地方，地铁直达！好city啊！,来杭州想晚上游玩 强烈推荐钱塘江夜游citywalk ✔️可以看到钱塘江自然景观及各大标志性建筑 大莲花，杭州之门，日月同辉(杭州国际会议中心和杭州大剧院） ✔️看一场钱江新城灯光秀，时长15分钟，很是震撼 	 📍地点：城市阳台 🚇地铁：市民中心地铁站 	 . 钱江新城灯光秀： 🕤周五、六每晚播放2场，时间为19:30、20:30；周日至周四每晚播放1场，时间为20:30 注意:这是夏令时时间，比冬令时推迟一小时 	 附近还有来福士，万象城商场，看完灯光秀可以去逛逛 #杭州citywalk[话题]##杭州夜景[话题]# #杭州周末去哪儿[话题]# #杭州[话题]# #杭州拍照[话题]# #记录我的城市[话题]# #城市浪漫地标打卡地[话题]# #城市摄影[话题]# #旅行[话题]# #要抓住夏天的尾巴[话题]#,"杭州citywalk, 杭州夜景, 杭州周末去哪儿, 杭州, 杭州拍照, 记录我的城市, 城市浪漫地标打卡地, 城市摄影, 旅行, 要抓住夏天的尾巴"
杭州本地人才知道的馒头山citywalk路线,#杭州周末去哪儿[话题]# #杭州citywalk[话题]# #游玩攻略[话题]# #万松书院[话题]# #馒头山[话题]# #杭州创意园区[话题]# #本地人才知道的好地方[话题]# #文艺生活者[话题]# #城市速写师[话题]#,"杭州周末去哪儿, 杭州citywalk, 游玩攻略, 万松书院, 馒头山, 杭州创意园区, 本地人才知道的好地方, 文艺生活者, 城市速写师"
比起西湖，我更推荐杭州运河边小众citywalk,第一次来杭州，一定要知道这条小众citywalk 这里藏着杭州的一半历史，一半人间烟火 如果给杭州留2天时间，除了西湖一日游 听我劝：走完这条citywalk杭州才不算白来！ 	 · ✅路线行程 武林门码头—信义坊码头—富义仓—香积寺—大兜路历史文化街区—小河直街—小河公园—桥西历史文化街区—拱宸桥码头-武林门码头-西湖文化广场-武林夜市 	 ⚠️Tips：水上巴士1号线 只用3r就能游遍大运河沿线景点，建议早上提前排队上船占窗边位置！非首发站，途径站点上船，不一定每个班次都有座位！如果这一趟船满员，就要继续等下一趟时间！ 	 . ✅必打卡景点 ❶香积寺 🎫门票：20r（寺庙卡免费） 门口可以看到绝美的古今同框！这里可以吃斋饭！ 	 ❷大兜路历史文化街区 🎫门票：免费 保留了很多清末民初的历史建筑，我拍到了一半仙气一半烟火！ 	 ❸富义仓遗址公园 🎫门票：免费 有天下粮仓之称，现在内部不定期举办各种展览 	 ❹小河直街 🎫门票：免费 极具江南水乡韵味的建筑，手作/咖啡/茶馆二文 艺氛围感满满💯 	 ❺小河公园 🎫门票：免费 浓浓现代工业风的油罐建筑，是日本建筑大师隈研吾团队设计，由小河油库改建而成。本地人zui爱逛的公园！ 	 ❻桥西历史文化街区 🎫门票：免费 藏着杭州近现代百年工业发展故事，来这里寻找街巷里弄的人间烟火。一口气逛完6个博物馆，还能一路集齐盖章！ 	 . ✅住宿 我们入住了「杭州纳德世家大酒店」交通非常便捷，距离游玩西湖&大运河都很近，湖景房站在窗边一眼能看到西湖！堪称市中心的性价比之王！不得不说：酒店提供的自助餐打破了我对杭州美食的印象！海鲜自由！甜品自由！中式菜品口味也很👍一楼还有新中式下午茶，真的很惬意～ . #杭州周末去哪儿[话题]# #周末去哪儿[话题]# #杭州Citywalk[话题]# #杭州[话题]# #杭州旅游[话题]# #杭州拍照[话题]# #京杭大运河杭州景区[话题]# #杭州周末好去处[话题]# #周末好去处[话题]# #国庆节旅游[话题]# #国庆去哪儿玩[话题]# #国庆旅游攻略[话题]# #旅游攻略[话题]# #杭州旅行[话题]# #杭州旅行攻略[话题]# #杭州旅遊攻略[话题]# #家门口也有好风景[话题]# #不懂就问有问必答[话题]# #分享一次住宿体验[话题]#,"杭州周末去哪儿, 周末去哪儿, 杭州Citywalk, 杭州, 杭州旅游, 杭州拍照, 京杭大运河杭州景区, 杭州周末好去处, 周末好去处, 国庆节旅游, 国庆去哪儿玩, 国庆旅游攻略, 旅游攻略, 杭州旅行, 杭州旅行攻略, 杭州旅遊攻略, 家门口也有好风景, 不懂就问有问必答, 分享一次住宿体验"
杭州citywalk |周末必逛的7条街📍,#周末去哪儿[话题]# 来杭州一定要逛这7条街 逛完这7条街，你会彻底爱上杭州。来杭州不能错过的洗浴中心-海茵汇温泉（滨江店），他们家交通地铁直达，门口就有服务员热情接待。里面的装修富丽堂皇，洗浴区的水质清澈干净，休息区的私密性也不错。在1.22-2.13，某团🔍【欢洗节】🈶8⃣8⃣⭕包，特种兵大学生和月光族都可以体验上有天堂下有苏杭的感受了。 ✅湖滨步行街： ✨关键词：杭州蕞繁华，紧挨着西湖，逛街超方便 ❗游玩小 Tips：别开车来，堵，停车费也很高 📍地址：上城区凤起路539-4号 ✅ 三墩老街 ✨关键词：很有杭州老底子味道的老街，很多美食店铺 📍李馆长深夜食堂干煸小龙虾 🧭金庄路紫金生活广场院内4幢1楼，特色干煸小龙虾，花雕冰镇精品大虾，特色大油边，炭烤鸦片鱼尾等等配这小啤酒🍻 ✅河坊街： ✨关键词：口碑争议。免费试吃 ❗游玩小 Tips：人多，注意防晒 📍地址：上城区河坊街180号 ✅武林女人街： 关键词：晚上蕞热闹。潮流年轻人都爱来这儿喜欢逛夜市的别错过 ❗游玩小 Tips：别带女朋友来，不然钱包会瘪哦 📍地址：拱墅区武林路299号 ✅南宋御街： ✨关键词：杭城蕞宋代。南宋的皇城根儿在这儿还 有数不尽的网红打卡 📍地址：上城区中山中路192号 ✅小河直街： ✨关键词：古风蕞好拍。每家店铺都很精美，文艺青年都爱来这里，记得带上志趣相投的人 ❗游玩小 Tips：别带上猪队友，不然会被气哭哦 📍地址：拱墅区小河直街51 ✅武林美食街： ✨时间：17:00- 22:00 美食、手作、手工艺应有尽有，让人眼花缭乱。灯光、餐车都做了相应升级，氛围感十足。夜市左边的武林路，也多了很多有趣的摊位，咖啡、路边酒吧、各种可爱的车车摊位，太好逛了。 夜市的摊位主要售卖小吃甜品、手工艺品等。小吃有葱包烩（杭州传统美食，必须尝尝） 📍地铁：2号线凤起路站 E 口步行320米 #国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]# @小红书创作助手 @小红书创作学院 @小红书成长笔记#干煸小龙虾[话题]##杭州小龙虾[话题]##李馆长深夜食堂[话题]# #国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]#,"周末去哪儿, 国庆, 杭州, 旅游, 笔记灵感, 攻略, 杭州旅游攻略, 杭州周边游, 干煸小龙虾, 杭州小龙虾, 李馆长深夜食堂"
暴走2w步，来杭州只逛一条街📍中山中路,中山中路真的是宝藏街区！开端是南宋御街，靠近河坊街，但没那么商业化。头顶绿色茂密大树🌳，夏天走也不会太热。一路往北走，能看到很多欧式风格的历史建筑洋房🏦 	 🕌凤凰寺 在市区的伊斯兰教礼拜中心，因此周围有很多清真牛羊肉餐饮店。地方不大，10分钟就能逛完，免费参观～ 	 🏛️羊坝头 旁边是欧式建筑，网红电商服装人御用场地，运气好的话能偶遇杭州网红～ 	 如果懒得规划路线，那么直接从中山中路1号一直走到底，无脑又轻松地get这条路～ 	 🍴特色餐厅 羊坝头马大西北牛肉火锅 喀摩尔土耳其风味餐厅 番禺申记·现切猪杂粥 岐照·日式挽肉大米 奎元馆 	 🍰咖啡甜品店 pandas bamboo熊竹咖啡 梦记咖啡 三浪咖啡 bitofree甜菜 晓春和 福兹FUTSU QUEL QUER sip coffee&taproom 	 🍹酒吧 养鱼young boss bar 日出sunrise lounge 红lounge bar 隔壁酒馆 outsider局外人精酿 #杭州citywalk[话题]# #杭州周末去哪儿[话题]# #旅游[话题]# #杭州拍照[话题]# #杭州咖啡店[话题]# #杭州面包店[话题]# #逛街[话题]#,"杭州citywalk, 杭州周末去哪儿, 旅游, 杭州拍照, 杭州咖啡店, 杭州面包店, 逛街"
坐3元的水上巴士，逛烟火气的老杭州‼️,如果你只有一天时间，那么杭州这条最具烟火气的一日游路线，一定不要错过~ #杭州citywalk[话题]##杭州小众打卡地[话题]##杭州周末去哪儿[话题]##古街古巷[话题]##旅游编辑部[话题]##胡雪岩故居[话题]##十五奎巷[话题]##大马弄[话题]##南宋御街[话题]##河坊街[话题]##五柳巷[话题]##德寿宫[话题]##杭州水上巴士[话题]##江浙沪旅游[话题]##旅行记忆放映计划[话题]##一键放映旅行攻略[话题]##上海周边游[话题]##江浙沪周边游[话题]#,"杭州citywalk, 杭州小众打卡地, 杭州周末去哪儿, 古街古巷, 旅游编辑部, 胡雪岩故居, 十五奎巷, 大马弄, 南宋御街, 河坊街, 五柳巷, 德寿宫, 杭州水上巴士, 江浙沪旅游, 旅行记忆放映计划, 一键放映旅行攻略, 上海周边游, 江浙沪周边游"
来杭州不要只会逛西湖，这个新地标一定要去,趁着亚运会之前，赶紧去杭州之门打个卡吧~ 作为杭州的城市地标，这是一座以“杭”首字母H作为形状的双塔，俗称“大裤衩”😂 晚上亮了灯之后非常有科技感，朋克味十足🎢 - 亮灯时间：19：30-22：00 地铁：6号线博览中心D口出 - [害羞R]拍照机位1： 出了地铁站D口，走个300米左转有个坡道，沿着坡道上去就到了（坡道上有很多骑行的朋友，需要注意安全~）。上去后视角很宽阔，还可以看到莲花碗 [赞R]拍照机位2： 想要离得更近点，也可以进博览中心展馆里面拍，不过要在8点前上去（有保安看守） [派对R]拍照机位3： A口出，走个十来分钟到正门口（位于奔竞大道） 🤭PS: 夜拍容易有噪点，建议带个闪光灯；如果拍人像的话，最好穿浅色衣服，避免和背景重叠 - 打完卡了还可以去附近的【城市阳台】散步吹江风，看看对面钱江新城的灯光秀~ #周末去哪儿[话题]# #杭州[话题]# #杭州旅行[话题]# #杭州周末去哪儿[话题]# #杭州亚运会[话题]# #杭州之门[话题]# #钱江新城[话题]# #杭州奥体[话题]# #杭州必打卡[话题]# #记录我的城市[话题]##citywalk[话题]# #我的散步影像[话题]#  @摄影薯 #亚运环游攻略[话题]#,"周末去哪儿, 杭州, 杭州旅行, 杭州周末去哪儿, 杭州亚运会, 杭州之门, 钱江新城, 杭州奥体, 杭州必打卡, 记录我的城市, citywalk, 我的散步影像, 亚运环游攻略"
