title,desc,tags
除了西湖，杭州还有这条运河citywalk路线,起点:拱宸桥西码头→终点:小河直街 1️⃣拱宸桥 ·杭州运河地标，站在桥上俯瞰运河船只往来，感受千年运河的流动历史。 2️⃣桥西历史街区 ·青石板路、白墙黛瓦的老建筑群，分布着中国刀剪剑博物馆、中国伞博物馆、中国扇博物馆(免费，周一闭馆)，可深入了解非遗文化。 3️⃣运河手工艺活态馆 ·体验传统手作(油纸伞、竹编、陶艺等)，适合亲子或文艺爱好者。 4️⃣小河直街 ·沿运河步行约15分钟抵达，文艺小店、咖啡馆、茶馆林立，推荐打卡「大橘家咖啡馆」「小河无名面馆」，感受老街慢时光。 	 #杭州旅游[话题]# #杭州旅游攻略[话题]# #杭州运河[话题]# #chinatravel[话题]# #citywalk[话题]# #西湖[话题]# #杭州周末去哪儿[话题]# #城市小众打卡地[话题]# #小河直街[话题]# #桥西直街[话题]#,"杭州旅游, 杭州旅游攻略, 杭州运河, chinatravel, citywalk, 西湖, 杭州周末去哪儿, 城市小众打卡地, 小河直街, 桥西直街"
比起西湖，我更推荐杭州运河边小众citywalk,第一次来杭州，一定要知道这条小众citywalk 这里藏着杭州的一半历史，一半人间烟火 如果给杭州留2天时间，除了西湖一日游 听我劝：走完这条citywalk杭州才不算白来！ 	 · ✅路线行程 武林门码头—信义坊码头—富义仓—香积寺—大兜路历史文化街区—小河直街—小河公园—桥西历史文化街区—拱宸桥码头-武林门码头-西湖文化广场-武林夜市 	 ⚠️Tips：水上巴士1号线 只用3r就能游遍大运河沿线景点，建议早上提前排队上船占窗边位置！非首发站，途径站点上船，不一定每个班次都有座位！如果这一趟船满员，就要继续等下一趟时间！ 	 . ✅必打卡景点 ❶香积寺 🎫门票：20r（寺庙卡免费） 门口可以看到绝美的古今同框！这里可以吃斋饭！ 	 ❷大兜路历史文化街区 🎫门票：免费 保留了很多清末民初的历史建筑，我拍到了一半仙气一半烟火！ 	 ❸富义仓遗址公园 🎫门票：免费 有天下粮仓之称，现在内部不定期举办各种展览 	 ❹小河直街 🎫门票：免费 极具江南水乡韵味的建筑，手作/咖啡/茶馆二文 艺氛围感满满💯 	 ❺小河公园 🎫门票：免费 浓浓现代工业风的油罐建筑，是日本建筑大师隈研吾团队设计，由小河油库改建而成。本地人zui爱逛的公园！ 	 ❻桥西历史文化街区 🎫门票：免费 藏着杭州近现代百年工业发展故事，来这里寻找街巷里弄的人间烟火。一口气逛完6个博物馆，还能一路集齐盖章！ 	 . ✅住宿 我们入住了「杭州纳德世家大酒店」交通非常便捷，距离游玩西湖&大运河都很近，湖景房站在窗边一眼能看到西湖！堪称市中心的性价比之王！不得不说：酒店提供的自助餐打破了我对杭州美食的印象！海鲜自由！甜品自由！中式菜品口味也很👍一楼还有新中式下午茶，真的很惬意～ . #杭州周末去哪儿[话题]# #周末去哪儿[话题]# #杭州Citywalk[话题]# #杭州[话题]# #杭州旅游[话题]# #杭州拍照[话题]# #京杭大运河杭州景区[话题]# #杭州周末好去处[话题]# #周末好去处[话题]# #国庆节旅游[话题]# #国庆去哪儿玩[话题]# #国庆旅游攻略[话题]# #旅游攻略[话题]# #杭州旅行[话题]# #杭州旅行攻略[话题]# #杭州旅遊攻略[话题]# #家门口也有好风景[话题]# #不懂就问有问必答[话题]# #分享一次住宿体验[话题]#,"杭州周末去哪儿, 周末去哪儿, 杭州Citywalk, 杭州, 杭州旅游, 杭州拍照, 京杭大运河杭州景区, 杭州周末好去处, 周末好去处, 国庆节旅游, 国庆去哪儿玩, 国庆旅游攻略, 旅游攻略, 杭州旅行, 杭州旅行攻略, 杭州旅遊攻略, 家门口也有好风景, 不懂就问有问必答, 分享一次住宿体验"
杭州citywalk |周末必逛的7条街📍,#周末去哪儿[话题]# 来杭州一定要逛这7条街 逛完这7条街，你会彻底爱上杭州。来杭州不能错过的洗浴中心-海茵汇温泉（滨江店），他们家交通地铁直达，门口就有服务员热情接待。里面的装修富丽堂皇，洗浴区的水质清澈干净，休息区的私密性也不错。在1.22-2.13，某团🔍【欢洗节】🈶8⃣8⃣⭕包，特种兵大学生和月光族都可以体验上有天堂下有苏杭的感受了。 ✅湖滨步行街： ✨关键词：杭州蕞繁华，紧挨着西湖，逛街超方便 ❗游玩小 Tips：别开车来，堵，停车费也很高 📍地址：上城区凤起路539-4号 ✅ 三墩老街 ✨关键词：很有杭州老底子味道的老街，很多美食店铺 📍李馆长深夜食堂干煸小龙虾 🧭金庄路紫金生活广场院内4幢1楼，特色干煸小龙虾，花雕冰镇精品大虾，特色大油边，炭烤鸦片鱼尾等等配这小啤酒🍻 ✅河坊街： ✨关键词：口碑争议。免费试吃 ❗游玩小 Tips：人多，注意防晒 📍地址：上城区河坊街180号 ✅武林女人街： 关键词：晚上蕞热闹。潮流年轻人都爱来这儿喜欢逛夜市的别错过 ❗游玩小 Tips：别带女朋友来，不然钱包会瘪哦 📍地址：拱墅区武林路299号 ✅南宋御街： ✨关键词：杭城蕞宋代。南宋的皇城根儿在这儿还 有数不尽的网红打卡 📍地址：上城区中山中路192号 ✅小河直街： ✨关键词：古风蕞好拍。每家店铺都很精美，文艺青年都爱来这里，记得带上志趣相投的人 ❗游玩小 Tips：别带上猪队友，不然会被气哭哦 📍地址：拱墅区小河直街51 ✅武林美食街： ✨时间：17:00- 22:00 美食、手作、手工艺应有尽有，让人眼花缭乱。灯光、餐车都做了相应升级，氛围感十足。夜市左边的武林路，也多了很多有趣的摊位，咖啡、路边酒吧、各种可爱的车车摊位，太好逛了。 夜市的摊位主要售卖小吃甜品、手工艺品等。小吃有葱包烩（杭州传统美食，必须尝尝） 📍地铁：2号线凤起路站 E 口步行320米 #国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]# @小红书创作助手 @小红书创作学院 @小红书成长笔记#干煸小龙虾[话题]##杭州小龙虾[话题]##李馆长深夜食堂[话题]# #国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]#,"周末去哪儿, 国庆, 杭州, 旅游, 笔记灵感, 攻略, 杭州旅游攻略, 杭州周边游, 干煸小龙虾, 杭州小龙虾, 李馆长深夜食堂"
暴走2w步，来杭州只逛一条街📍中山中路,中山中路真的是宝藏街区！开端是南宋御街，靠近河坊街，但没那么商业化。头顶绿色茂密大树🌳，夏天走也不会太热。一路往北走，能看到很多欧式风格的历史建筑洋房🏦 	 🕌凤凰寺 在市区的伊斯兰教礼拜中心，因此周围有很多清真牛羊肉餐饮店。地方不大，10分钟就能逛完，免费参观～ 	 🏛️羊坝头 旁边是欧式建筑，网红电商服装人御用场地，运气好的话能偶遇杭州网红～ 	 如果懒得规划路线，那么直接从中山中路1号一直走到底，无脑又轻松地get这条路～ 	 🍴特色餐厅 羊坝头马大西北牛肉火锅 喀摩尔土耳其风味餐厅 番禺申记·现切猪杂粥 岐照·日式挽肉大米 奎元馆 	 🍰咖啡甜品店 pandas bamboo熊竹咖啡 梦记咖啡 三浪咖啡 bitofree甜菜 晓春和 福兹FUTSU QUEL QUER sip coffee&taproom 	 🍹酒吧 养鱼young boss bar 日出sunrise lounge 红lounge bar 隔壁酒馆 outsider局外人精酿 #杭州citywalk[话题]# #杭州周末去哪儿[话题]# #旅游[话题]# #杭州拍照[话题]# #杭州咖啡店[话题]# #杭州面包店[话题]# #逛街[话题]#,"杭州citywalk, 杭州周末去哪儿, 旅游, 杭州拍照, 杭州咖啡店, 杭州面包店, 逛街"
杭州 | 复古车库咖啡馆🚗波子被挂在墙上,#杭州探店[话题]# #杭州咖啡[话题]# #COTD咖啡探店[话题]# #复古车[话题]# #保时捷[话题]# #情怀老车[话题]# #保时捷911[话题]# #杭州小众拍照[话题]# #citywalk[话题]# #杭州必打卡[话题]#,"杭州探店, 杭州咖啡, COTD咖啡探店, 复古车, 保时捷, 情怀老车, 保时捷911, 杭州小众拍照, citywalk, 杭州必打卡"
杭州citywalk孩儿巷🔜中山北路🔜屏风街,还有谁不知道杭州这条citywalk路线 孩儿巷—中山北路—屏风街  顺路又好逛 	 🚇地铁1/2号线 凤起路站 A出口 出站就是📍孩儿巷 ☕️Pasto COFI COFI 🧸橡皮文具店 🍞慢熟面包店bud bread ☕️咖啡脑袋 🥯Tira misu提拉米苏 🥯Tiohoh 贝果三明治店 ☕️Parking coffee ☕️Manner Coffee 	 📍孩儿巷走到底就是📍中山北路 先右转➡️ 🥯皮师👨‍🍳马卡龙 再左转⬅️ 🥯红跑车蛋糕世界 ☕️无由·Tea zone 🍨阿嬷的糖水铺 ☕️村口大树 🍜小狗面馆 🥯AZAHAR安莎烘焙 🧸Really Cool古着店 ☕️吉市cafe 🍨冰喜福雪冰·鲜奶·甜品 🍔Black Burger黑汉堡 🥯Cycle Cycle 	 逛完Cycle📍中山北路右边过马路就是📍屏风街 🥯fa酵食堂 🥯CHOCMONS巧克怪兽 	 逛完还可以骑🚲去📍银泰in77 意外收获卡皮巴拉快闪 太太太可爱了 沿途会经过可爱的拍立得照相馆 📷得意胶片馆 📷来拍照叭 #假日citywalk[话题]# #城市里那些可可爱爱的小店[话题]# #宝藏小店[话题]# #杭州[话题]# #杭州citywalk[话题]# #杭州美食[话题]# #孩儿巷[话题]# #杭州中山北路[话题]#,"假日citywalk, 城市里那些可可爱爱的小店, 宝藏小店, 杭州, 杭州citywalk, 杭州美食, 孩儿巷, 杭州中山北路"
除了去西湖，我还建议你走运河citywalk路线,来杭州，除了去#西湖[话题]# 我还建议你来#京杭大运河[话题]# 这里没有#河坊街[话题]# 那么嘈杂，很安逸 这里有很多特色的历史街区 白墙黛瓦，青石板路，小巷深深 这里可以满足你对老杭州历史文化的所有幻想 . 🤣但是大运河这么长，怎么玩才能玩到精华呢 本地人都说好的一日游攻略来啦👍 . 👉一日游路线： 3r的运河水上巴士+运河citywalk . ❤️怎么去 🚇地铁1号线闸弄口地铁站D口出 步行几分钟到达濮家站 坐3元水上巴士1号线，从濮家码头-拱宸桥 . [向右R]Citywalk路线 中国大运河博物馆（运河广场）-拱宸桥-桥西历史街区-中国伞，刀剪剑博物馆-小河直街-小河公园-大兜路历史街区-香积寺-富义仓-胜利河美食街 . ❤️关于景点 [一R]#杭州京杭大运河水上巴士1号线[话题]# ⏰：7点-17点55 💰：3r（上船买票） . [二R]#杭州京杭大运河博物馆[话题]# 免费 ⏰9;00-16;00 周一闭馆 展示了从北京到杭州一路上运河的风景， 可以深度了解大运河的历史文化和风土人情 . [三R]#拱宸桥[话题]# 一座拱宸桥，半部杭州史 这里是京杭大运河的起点，承载了杭州的历史 . [四R]#桥西历史街区[话题]# 这里保留了原汁原味的清末民初建筑 有很多特色小店 不要错过中国伞博物馆和刀剪剑博物馆，适合带娃涨知识 🌟博物馆周一周二闭馆，不要跑空了 . [五R]#小河直街[话题]# 这里青石板路，小巷深深 很多有特色的小店，也有很多猫咖，适合撸猫看景 . [六R]#小河公园[话题]# 这里原来是小河油库 后面被改成一个工业风公园 很适合带娃玩 . [七R]#大兜路历史街区[话题]# 沿街很多文艺小店和咖啡馆，很适合在这感受慢时光 . [八R]#香积寺[话题]# 国内wei一供奉有食神的寺庙，素斋一绝 . [九R]#富义仓[话题]# 这里是杭州现存wei一的粮仓 很适合在这发呆看景 . [一R][零R]#胜利河美食街[话题]# 17：00-2点 夜宵好去处，有烧烤，火锅，大排档，各种店铺 [点赞R]：脆皮年糕，烤猪蹄，烤扇贝，火锅，海鲜 . ‼️注意 [一R]如果要去博物馆，可早点出发，这样一天可逛运河边4个博物馆，还不累 . [二R]整条运河citywalk路线共5小时左右，都免费 一路都有美食，文艺小店，很适合度过悠闲慢时光 . [三R]水上巴士，上船买票，票价3r，不要弄错了 . 我是多宝妈妈，关 注 我，带你玩杭州 . #我的私藏旅行路线[话题]# #杭州旅游[话题]# #杭州旅行[话题]# #杭州周末去哪儿[话题]# #杭州[话题]# #杭州拍照[话题]# #杭州老街[话题]# #西湖美景[话题]# . #你喜欢运河哪个景点 [投票]#,"西湖, 京杭大运河, 河坊街, 杭州京杭大运河水上巴士1号线, 杭州京杭大运河博物馆, 拱宸桥, 桥西历史街区, 小河直街, 小河公园, 大兜路历史街区, 香积寺, 富义仓, 胜利河美食街, 我的私藏旅行路线, 杭州旅游, 杭州旅行, 杭州周末去哪儿, 杭州, 杭州拍照, 杭州老街, 西湖美景"
比起西湖，我更推荐这条运河小众citywalk‼️,第一次来杭州，除了西湖，推荐这条小众citywalk 一条运河线  半部杭州史 这里有小桥流水、文艺小店 有老杭州的烟火气 最近还有凌霄花绽放 	 ～ 🍭推荐路线： 香积寺 → 大兜路历史街区 →  桥西历史文化街区 → 小河公园 → 小河直街 	 1️⃣ 香积寺 北宋古庙，隐于闹市。寺庙建筑唐宋之风，比较清净，适合祈福许愿； 🕰️开放时间：8:00-17:00 🎫门票：20，寺庙卡🆓 	 2️⃣ 大兜路历史街区 香积寺出门右转就到了，边上就是大运河。绿树成荫，还有市集。逛累了看看运河风光，喝喝咖啡； 	 3️⃣ 桥西历史文化街区 经过大名鼎鼎的拱宸桥，就到桥西历史街区了。街道两旁是各种工艺小店。古街小巷，很有烟火气，最近凌霄花也开了； ✅历史展馆： 大运河博物馆 中国伞博物馆 中国扇博物馆 刀剑剪博物馆 	 4️⃣ 小河公园 工业风艺术公园，废旧油罐改造的建筑群，很有特色。溜自己遛娃都很不错； 	 5️⃣ 小河直街 文艺宝藏老街，有三条小街可以溜达。小店都布置得很有趣，拍照打卡够好看。晚上的小河直街也别有一番光彩； 	 #被低估的宝藏小城[话题]# #去班味小城[话题]# #杭州旅游[话题]# #旅行随地大小拍[话题]# #旅行攻略[话题]# #周末去哪儿[话题]# #杭州[话题]# #江浙沪周边游[话题]# #citywalk[话题]# #杭州拍照[话题]#,"被低估的宝藏小城, 去班味小城, 杭州旅游, 旅行随地大小拍, 旅行攻略, 周末去哪儿, 杭州, 江浙沪周边游, citywalk, 杭州拍照"
人生建议‼️来杭州一定一定要先看这篇攻略‼️,作为一个在杭州的旅游博主 基本上把这个城市各个角落都打卡了一遍 如果你也想来杭州游玩，那么这份游玩攻略请收好！ 	 ✨Day1：西湖经典一日游 路线：龙翔桥B口--湖滨一公园码头--三潭印月-花港观鱼-太子湾公园-净慈寺-雷峰塔-观光车过苏堤-西冷桥-孤山路-白堤一断桥残雪-武林夜市-凤起路 	 👍tips： -苏堤一定要坐观光车 不然会走断腿 -西泠桥是日落观赏点 很美 	 ✨Day2:灵隐寺法喜寺攻略 🚇黄龙体育中心/ 龙翔桥 这两个地铁站 都有灵隐专线公交🚌 👍tips： -灵隐寺在飞来峰景区里面 两个门票共75r 需要一起买 	 -灵隐寺出口有接驳车 10元到达法喜寺门口很方便 	 -法喜寺有公交站 不建议打车因为很堵 坐1314路公交可回到西湖 	 ✨大运河citywalk路线 香积寺-（步行800米）-大兜路-（步行800米）-小河直街-小河公园-（步行900米）-桥西历史文化街区-（步行400米）拱宸桥 	 👍tips： -香积寺门票20r 寺庙闹中取静很独特 -大兜路比小河直街 人流量更少 古朴文艺 有很多摆摊的市集值得一逛 -小河直街很多簪花店铺 网红咖啡馆 茶馆 -桥西历史文化街区很多博物馆 中国扇博物馆 伞博物馆 刀剪剑博物馆 	 ✨住宿攻略 🏨预算充足的姐妹 住宿可以选择【杭州洲际酒店】 住宿贵一点旅行体验感也更好 江景房的落地玻璃窗，望出去是浩淼的钱塘江 视野开阔 夜间霓虹亮起又是另一番景色 房间设施齐全 酒店紧邻地铁市民中心站 步行可至周边大型购物🛍️商城 观赏钱塘江的城市阳台 真的很方便 	 ✨来杭州旅游的宝子 建议提前在美团上订酒店 热门旅行地经常有福利 上面也经常有折扣很划算！ 美团上搜索【江浙沪111】就可以看到啦！ 	 #美团酒店[话题]# #假日躺倒计划[话题]##我的300个人生酒店[话题]##美团酒店全国旅行地图[话题]##杭州[话题]# #杭州旅游攻略[话题]##西湖攻略[话题]##元旦旅行[话题]##江浙沪旅行[话题]##杭州洲际酒店[话题]#,"美团酒店, 假日躺倒计划, 我的300个人生酒店, 美团酒店全国旅行地图, 杭州, 杭州旅游攻略, 西湖攻略, 元旦旅行, 江浙沪旅行, 杭州洲际酒店"
【杭州city walk】必逛的路线！必逛！,来杭州，传统景点逛完之后，就可以开启city walk的一天啦，这次推荐的行程大概需要2～4小时，留出一下午的时间，来杭州街区逛一逛叭！还有可以拍立得的店！尊的好出片！ （超全干货，记得收藏！） 🍆321茄子 这家应该是杭州拥有最多主题的拍立得店啦！ 海绵宝宝/库洛米/玩具总动员/hello Kitty/pingu墙 老板娘拍照技术也很好～正在布置新主题中！ 📍路线：狮虎桥路——武林路——孩儿巷 🌈狮虎桥路：古着店超多 风雨书店 10:00-21:00 小烦大人 10:30-22:30 bubble vintage 13:00-22:00 Lin BrandNew Vintage 12:30-23:00 大娃古着杂货 12:00-22:00 半间古着小铺 10:00-23:00 怪牙商店 13:00-22:00 Rich vintage Store古着商店 12:00-22:00 🌈武林路：美食超多 注意：举行打卡扭蛋机，目前已经没有扭蛋了 来武林路顺便可以逛逛武林夜市 推荐：杭州葱包烩（谢霆锋同款）15 茉莉冰豆浆：（常温的）15 龙井冰淇淋：（第二份半价）15 叶玫贵螺蛳粉：（没有科技与狠活）19 嵊州小笼包：（一份六个）10 🌈孩儿巷：咖啡店超多 Pasto COFI COFI Coffee ideas拉菲脑袋 慢熟面包店bud bread 猫森商店 橡皮文具店（很多可爱小文具） 妙妙磨古屋（衣服，发饰） BFF weekend（小蛋糕，马卡龙） 波奈古着屋 有很多可以出片的地方，可以根据需要选择哦！ （最重要的！穿一双合适的鞋子，别累到啦！） #杭州[话题]# #杭州citywalk[话题]# #杭州citywalk路线[话题]# #杭州旅游[话题]# #杭州美食[话题]# #杭州探店[话题]# #杭州拍照[话题]# #杭州宝藏服装店[话题]# #杭州网红打卡地[话题]#,"杭州, 杭州citywalk, 杭州citywalk路线, 杭州旅游, 杭州美食, 杭州探店, 杭州拍照, 杭州宝藏服装店, 杭州网红打卡地"
