title,desc,tags
杭州最爱的夜游地方，地铁直达！好city啊！,来杭州想晚上游玩 强烈推荐钱塘江夜游citywalk ✔️可以看到钱塘江自然景观及各大标志性建筑 大莲花，杭州之门，日月同辉(杭州国际会议中心和杭州大剧院） ✔️看一场钱江新城灯光秀，时长15分钟，很是震撼 	 📍地点：城市阳台 🚇地铁：市民中心地铁站 	 . 钱江新城灯光秀： 🕤周五、六每晚播放2场，时间为19:30、20:30；周日至周四每晚播放1场，时间为20:30 注意:这是夏令时时间，比冬令时推迟一小时 	 附近还有来福士，万象城商场，看完灯光秀可以去逛逛 #杭州citywalk[话题]##杭州夜景[话题]# #杭州周末去哪儿[话题]# #杭州[话题]# #杭州拍照[话题]# #记录我的城市[话题]# #城市浪漫地标打卡地[话题]# #城市摄影[话题]# #旅行[话题]# #要抓住夏天的尾巴[话题]#,"杭州citywalk, 杭州夜景, 杭州周末去哪儿, 杭州, 杭州拍照, 记录我的城市, 城市浪漫地标打卡地, 城市摄影, 旅行, 要抓住夏天的尾巴"
比起西湖，我更推荐杭州运河边小众citywalk,第一次来杭州，一定要知道这条小众citywalk 这里藏着杭州的一半历史，一半人间烟火 如果给杭州留2天时间，除了西湖一日游 听我劝：走完这条citywalk杭州才不算白来！ 	 · ✅路线行程 武林门码头—信义坊码头—富义仓—香积寺—大兜路历史文化街区—小河直街—小河公园—桥西历史文化街区—拱宸桥码头-武林门码头-西湖文化广场-武林夜市 	 ⚠️Tips：水上巴士1号线 只用3r就能游遍大运河沿线景点，建议早上提前排队上船占窗边位置！非首发站，途径站点上船，不一定每个班次都有座位！如果这一趟船满员，就要继续等下一趟时间！ 	 . ✅必打卡景点 ❶香积寺 🎫门票：20r（寺庙卡免费） 门口可以看到绝美的古今同框！这里可以吃斋饭！ 	 ❷大兜路历史文化街区 🎫门票：免费 保留了很多清末民初的历史建筑，我拍到了一半仙气一半烟火！ 	 ❸富义仓遗址公园 🎫门票：免费 有天下粮仓之称，现在内部不定期举办各种展览 	 ❹小河直街 🎫门票：免费 极具江南水乡韵味的建筑，手作/咖啡/茶馆二文 艺氛围感满满💯 	 ❺小河公园 🎫门票：免费 浓浓现代工业风的油罐建筑，是日本建筑大师隈研吾团队设计，由小河油库改建而成。本地人zui爱逛的公园！ 	 ❻桥西历史文化街区 🎫门票：免费 藏着杭州近现代百年工业发展故事，来这里寻找街巷里弄的人间烟火。一口气逛完6个博物馆，还能一路集齐盖章！ 	 . ✅住宿 我们入住了「杭州纳德世家大酒店」交通非常便捷，距离游玩西湖&大运河都很近，湖景房站在窗边一眼能看到西湖！堪称市中心的性价比之王！不得不说：酒店提供的自助餐打破了我对杭州美食的印象！海鲜自由！甜品自由！中式菜品口味也很👍一楼还有新中式下午茶，真的很惬意～ . #杭州周末去哪儿[话题]# #周末去哪儿[话题]# #杭州Citywalk[话题]# #杭州[话题]# #杭州旅游[话题]# #杭州拍照[话题]# #京杭大运河杭州景区[话题]# #杭州周末好去处[话题]# #周末好去处[话题]# #国庆节旅游[话题]# #国庆去哪儿玩[话题]# #国庆旅游攻略[话题]# #旅游攻略[话题]# #杭州旅行[话题]# #杭州旅行攻略[话题]# #杭州旅遊攻略[话题]# #家门口也有好风景[话题]# #不懂就问有问必答[话题]# #分享一次住宿体验[话题]#,"杭州周末去哪儿, 周末去哪儿, 杭州Citywalk, 杭州, 杭州旅游, 杭州拍照, 京杭大运河杭州景区, 杭州周末好去处, 周末好去处, 国庆节旅游, 国庆去哪儿玩, 国庆旅游攻略, 旅游攻略, 杭州旅行, 杭州旅行攻略, 杭州旅遊攻略, 家门口也有好风景, 不懂就问有问必答, 分享一次住宿体验"
杭州citywalk |周末必逛的7条街📍,#周末去哪儿[话题]# 来杭州一定要逛这7条街 逛完这7条街，你会彻底爱上杭州。来杭州不能错过的洗浴中心-海茵汇温泉（滨江店），他们家交通地铁直达，门口就有服务员热情接待。里面的装修富丽堂皇，洗浴区的水质清澈干净，休息区的私密性也不错。在1.22-2.13，某团🔍【欢洗节】🈶8⃣8⃣⭕包，特种兵大学生和月光族都可以体验上有天堂下有苏杭的感受了。 ✅湖滨步行街： ✨关键词：杭州蕞繁华，紧挨着西湖，逛街超方便 ❗游玩小 Tips：别开车来，堵，停车费也很高 📍地址：上城区凤起路539-4号 ✅ 三墩老街 ✨关键词：很有杭州老底子味道的老街，很多美食店铺 📍李馆长深夜食堂干煸小龙虾 🧭金庄路紫金生活广场院内4幢1楼，特色干煸小龙虾，花雕冰镇精品大虾，特色大油边，炭烤鸦片鱼尾等等配这小啤酒🍻 ✅河坊街： ✨关键词：口碑争议。免费试吃 ❗游玩小 Tips：人多，注意防晒 📍地址：上城区河坊街180号 ✅武林女人街： 关键词：晚上蕞热闹。潮流年轻人都爱来这儿喜欢逛夜市的别错过 ❗游玩小 Tips：别带女朋友来，不然钱包会瘪哦 📍地址：拱墅区武林路299号 ✅南宋御街： ✨关键词：杭城蕞宋代。南宋的皇城根儿在这儿还 有数不尽的网红打卡 📍地址：上城区中山中路192号 ✅小河直街： ✨关键词：古风蕞好拍。每家店铺都很精美，文艺青年都爱来这里，记得带上志趣相投的人 ❗游玩小 Tips：别带上猪队友，不然会被气哭哦 📍地址：拱墅区小河直街51 ✅武林美食街： ✨时间：17:00- 22:00 美食、手作、手工艺应有尽有，让人眼花缭乱。灯光、餐车都做了相应升级，氛围感十足。夜市左边的武林路，也多了很多有趣的摊位，咖啡、路边酒吧、各种可爱的车车摊位，太好逛了。 夜市的摊位主要售卖小吃甜品、手工艺品等。小吃有葱包烩（杭州传统美食，必须尝尝） 📍地铁：2号线凤起路站 E 口步行320米 #国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]# @小红书创作助手 @小红书创作学院 @小红书成长笔记#干煸小龙虾[话题]##杭州小龙虾[话题]##李馆长深夜食堂[话题]# #国庆[话题]# #杭州[话题]# #旅游[话题]# #笔记灵感[话题]# #攻略[话题]# #杭州旅游攻略[话题]# #杭州周边游[话题]#,"周末去哪儿, 国庆, 杭州, 旅游, 笔记灵感, 攻略, 杭州旅游攻略, 杭州周边游, 干煸小龙虾, 杭州小龙虾, 李馆长深夜食堂"
来杭州不要只会逛西湖，这个新地标一定要去,趁着亚运会之前，赶紧去杭州之门打个卡吧~ 作为杭州的城市地标，这是一座以“杭”首字母H作为形状的双塔，俗称“大裤衩”😂 晚上亮了灯之后非常有科技感，朋克味十足🎢 - 亮灯时间：19：30-22：00 地铁：6号线博览中心D口出 - [害羞R]拍照机位1： 出了地铁站D口，走个300米左转有个坡道，沿着坡道上去就到了（坡道上有很多骑行的朋友，需要注意安全~）。上去后视角很宽阔，还可以看到莲花碗 [赞R]拍照机位2： 想要离得更近点，也可以进博览中心展馆里面拍，不过要在8点前上去（有保安看守） [派对R]拍照机位3： A口出，走个十来分钟到正门口（位于奔竞大道） 🤭PS: 夜拍容易有噪点，建议带个闪光灯；如果拍人像的话，最好穿浅色衣服，避免和背景重叠 - 打完卡了还可以去附近的【城市阳台】散步吹江风，看看对面钱江新城的灯光秀~ #周末去哪儿[话题]# #杭州[话题]# #杭州旅行[话题]# #杭州周末去哪儿[话题]# #杭州亚运会[话题]# #杭州之门[话题]# #钱江新城[话题]# #杭州奥体[话题]# #杭州必打卡[话题]# #记录我的城市[话题]##citywalk[话题]# #我的散步影像[话题]#  @摄影薯 #亚运环游攻略[话题]#,"周末去哪儿, 杭州, 杭州旅行, 杭州周末去哪儿, 杭州亚运会, 杭州之门, 钱江新城, 杭州奥体, 杭州必打卡, 记录我的城市, citywalk, 我的散步影像, 亚运环游攻略"
五一避开人挤人‼️一天打卡杭州8个免费景点,除了去西湖、去灵隐寺，还有一条私藏许久的citywalk路线 花一天时间，既能乘坐zui美水上巴士，又能逛吃老杭州感受市井气息，这条避开人流的小众路线赶快收藏好哦！ （⚠️文字攻略在最后） ………… 「CityWalk一日游路线」 坝子桥➟梅花碑➟五柳巷➟德寿宫➟十五奎巷➟大马弄➟鼓楼➟南宋御街➟河坊街 ………… 「关于住宿」 可以选择这三个地方： ①湖滨步行街 ②河坊街 ③黄龙广场 PS：无论是交通还是吃饭都很方便，距离西湖、河坊街非常近 ………… ►►►第1站：水上巴士7号线◄◄◄ 地铁5号线「宝善桥A2口」或者公交「莫衙营站」下车 步行200米抵达「坝子桥水上巴士站」 🎫船票：3r/人，上船刷卡 🚢8人一船（小船），下午16:00那班能坐24人（大船） 	 ►►►第2站：五柳巷◄◄◄ 从梅花碑下船步行5min到五柳巷，沿河而建，一侧是绿荫小路，一侧是老城生活区，充斥着老杭州的市井气息 有几处美食可以打卡： ❶游埠豆浆：咸豆浆、油条、烧饼 ❷金华酥饼：梅干菜烧饼 ❸赵宝美点心店：小馄饨、葱煎包 	 ►►►第3站：德寿宫◄◄◄ 整个场馆分地上和地下两部分，相比较修缮一新的地上宫殿，我geng喜欢地下的慈福宫遗址和重华殿 🎫门票：免费 ⏰开放时间：09:30—17:00 📢公益讲解：上午10:30，下午14:30（游客中心集合） ～必看的两场数字影像（时⌚️间表见视频）～ 	 ►►►第4站：十五奎巷◄◄◄ 解锁拍照机位📍巴尔干客栈（十五奎巷的晓霞弄） 这里能拍到小巷子与望仙阁同框照片～ 	 ►►►第5站：大马弄◄◄◄ 步行5分钟到大马弄，寻找藏在菜市场里的杭州味道 ❶蒋师傅酥鱼 ❷周萍粽子 ❸菊英面店 ❹侯大姐葱包烩 ❺小王油墩儿 ❻素烧鹅 	 ►►►第6站：鼓楼◄◄◄ 临近傍晚，从大马弄步行10分钟抵达鼓楼，比起白天的模样，夜幕下的鼓楼更有感觉 古色古香的建筑配上红色灯笼和盘旋着的金色祥龙，福气满分！ 	 ►►►第7站：南宋御街◄◄◄ 穿过鼓楼，进入清河坊，比起热闹的街巷，我更喜欢呆在「猫空」这样的地方， 	 ►►►第8站：河坊街◄◄◄ 与南宋御街交叉的东西向老街「清河坊」，是杭州唯一保存完整的旧街区 逛完清河坊，可以到旁边的高银街，有很多杭帮菜的餐馆 #五一怎么办[话题]#  #旅游攻略编辑部[话题]#  #五一不扎堆指南[话题]#  #来我家乡玩一天[话题]#  #杭州旅行[话题]#  #杭州旅行攻略[话题]#  #西湖[话题]#  #灵隐寺[话题]#  #京杭大运河[话题]#  #我要反向旅游[话题]#,"五一怎么办, 旅游攻略编辑部, 五一不扎堆指南, 来我家乡玩一天, 杭州旅行, 杭州旅行攻略, 西湖, 灵隐寺, 京杭大运河, 我要反向旅游"
除了去西湖，我还建议你走运河citywalk路线,来杭州，除了去#西湖[话题]# 我还建议你来#京杭大运河[话题]# 这里没有#河坊街[话题]# 那么嘈杂，很安逸 这里有很多特色的历史街区 白墙黛瓦，青石板路，小巷深深 这里可以满足你对老杭州历史文化的所有幻想 . 🤣但是大运河这么长，怎么玩才能玩到精华呢 本地人都说好的一日游攻略来啦👍 . 👉一日游路线： 3r的运河水上巴士+运河citywalk . ❤️怎么去 🚇地铁1号线闸弄口地铁站D口出 步行几分钟到达濮家站 坐3元水上巴士1号线，从濮家码头-拱宸桥 . [向右R]Citywalk路线 中国大运河博物馆（运河广场）-拱宸桥-桥西历史街区-中国伞，刀剪剑博物馆-小河直街-小河公园-大兜路历史街区-香积寺-富义仓-胜利河美食街 . ❤️关于景点 [一R]#杭州京杭大运河水上巴士1号线[话题]# ⏰：7点-17点55 💰：3r（上船买票） . [二R]#杭州京杭大运河博物馆[话题]# 免费 ⏰9;00-16;00 周一闭馆 展示了从北京到杭州一路上运河的风景， 可以深度了解大运河的历史文化和风土人情 . [三R]#拱宸桥[话题]# 一座拱宸桥，半部杭州史 这里是京杭大运河的起点，承载了杭州的历史 . [四R]#桥西历史街区[话题]# 这里保留了原汁原味的清末民初建筑 有很多特色小店 不要错过中国伞博物馆和刀剪剑博物馆，适合带娃涨知识 🌟博物馆周一周二闭馆，不要跑空了 . [五R]#小河直街[话题]# 这里青石板路，小巷深深 很多有特色的小店，也有很多猫咖，适合撸猫看景 . [六R]#小河公园[话题]# 这里原来是小河油库 后面被改成一个工业风公园 很适合带娃玩 . [七R]#大兜路历史街区[话题]# 沿街很多文艺小店和咖啡馆，很适合在这感受慢时光 . [八R]#香积寺[话题]# 国内wei一供奉有食神的寺庙，素斋一绝 . [九R]#富义仓[话题]# 这里是杭州现存wei一的粮仓 很适合在这发呆看景 . [一R][零R]#胜利河美食街[话题]# 17：00-2点 夜宵好去处，有烧烤，火锅，大排档，各种店铺 [点赞R]：脆皮年糕，烤猪蹄，烤扇贝，火锅，海鲜 . ‼️注意 [一R]如果要去博物馆，可早点出发，这样一天可逛运河边4个博物馆，还不累 . [二R]整条运河citywalk路线共5小时左右，都免费 一路都有美食，文艺小店，很适合度过悠闲慢时光 . [三R]水上巴士，上船买票，票价3r，不要弄错了 . 我是多宝妈妈，关 注 我，带你玩杭州 . #我的私藏旅行路线[话题]# #杭州旅游[话题]# #杭州旅行[话题]# #杭州周末去哪儿[话题]# #杭州[话题]# #杭州拍照[话题]# #杭州老街[话题]# #西湖美景[话题]# . #你喜欢运河哪个景点 [投票]#,"西湖, 京杭大运河, 河坊街, 杭州京杭大运河水上巴士1号线, 杭州京杭大运河博物馆, 拱宸桥, 桥西历史街区, 小河直街, 小河公园, 大兜路历史街区, 香积寺, 富义仓, 胜利河美食街, 我的私藏旅行路线, 杭州旅游, 杭州旅行, 杭州周末去哪儿, 杭州, 杭州拍照, 杭州老街, 西湖美景"
人生建议‼️来杭州一定一定要先看这篇攻略‼️,作为一个在杭州的旅游博主 基本上把这个城市各个角落都打卡了一遍 如果你也想来杭州游玩，那么这份游玩攻略请收好！ 	 ✨Day1：西湖经典一日游 路线：龙翔桥B口--湖滨一公园码头--三潭印月-花港观鱼-太子湾公园-净慈寺-雷峰塔-观光车过苏堤-西冷桥-孤山路-白堤一断桥残雪-武林夜市-凤起路 	 👍tips： -苏堤一定要坐观光车 不然会走断腿 -西泠桥是日落观赏点 很美 	 ✨Day2:灵隐寺法喜寺攻略 🚇黄龙体育中心/ 龙翔桥 这两个地铁站 都有灵隐专线公交🚌 👍tips： -灵隐寺在飞来峰景区里面 两个门票共75r 需要一起买 	 -灵隐寺出口有接驳车 10元到达法喜寺门口很方便 	 -法喜寺有公交站 不建议打车因为很堵 坐1314路公交可回到西湖 	 ✨大运河citywalk路线 香积寺-（步行800米）-大兜路-（步行800米）-小河直街-小河公园-（步行900米）-桥西历史文化街区-（步行400米）拱宸桥 	 👍tips： -香积寺门票20r 寺庙闹中取静很独特 -大兜路比小河直街 人流量更少 古朴文艺 有很多摆摊的市集值得一逛 -小河直街很多簪花店铺 网红咖啡馆 茶馆 -桥西历史文化街区很多博物馆 中国扇博物馆 伞博物馆 刀剪剑博物馆 	 ✨住宿攻略 🏨预算充足的姐妹 住宿可以选择【杭州洲际酒店】 住宿贵一点旅行体验感也更好 江景房的落地玻璃窗，望出去是浩淼的钱塘江 视野开阔 夜间霓虹亮起又是另一番景色 房间设施齐全 酒店紧邻地铁市民中心站 步行可至周边大型购物🛍️商城 观赏钱塘江的城市阳台 真的很方便 	 ✨来杭州旅游的宝子 建议提前在美团上订酒店 热门旅行地经常有福利 上面也经常有折扣很划算！ 美团上搜索【江浙沪111】就可以看到啦！ 	 #美团酒店[话题]# #假日躺倒计划[话题]##我的300个人生酒店[话题]##美团酒店全国旅行地图[话题]##杭州[话题]# #杭州旅游攻略[话题]##西湖攻略[话题]##元旦旅行[话题]##江浙沪旅行[话题]##杭州洲际酒店[话题]#,"美团酒店, 假日躺倒计划, 我的300个人生酒店, 美团酒店全国旅行地图, 杭州, 杭州旅游攻略, 西湖攻略, 元旦旅行, 江浙沪旅行, 杭州洲际酒店"
【杭州city walk】必逛的路线！必逛！,来杭州，传统景点逛完之后，就可以开启city walk的一天啦，这次推荐的行程大概需要2～4小时，留出一下午的时间，来杭州街区逛一逛叭！还有可以拍立得的店！尊的好出片！ （超全干货，记得收藏！） 🍆321茄子 这家应该是杭州拥有最多主题的拍立得店啦！ 海绵宝宝/库洛米/玩具总动员/hello Kitty/pingu墙 老板娘拍照技术也很好～正在布置新主题中！ 📍路线：狮虎桥路——武林路——孩儿巷 🌈狮虎桥路：古着店超多 风雨书店 10:00-21:00 小烦大人 10:30-22:30 bubble vintage 13:00-22:00 Lin BrandNew Vintage 12:30-23:00 大娃古着杂货 12:00-22:00 半间古着小铺 10:00-23:00 怪牙商店 13:00-22:00 Rich vintage Store古着商店 12:00-22:00 🌈武林路：美食超多 注意：举行打卡扭蛋机，目前已经没有扭蛋了 来武林路顺便可以逛逛武林夜市 推荐：杭州葱包烩（谢霆锋同款）15 茉莉冰豆浆：（常温的）15 龙井冰淇淋：（第二份半价）15 叶玫贵螺蛳粉：（没有科技与狠活）19 嵊州小笼包：（一份六个）10 🌈孩儿巷：咖啡店超多 Pasto COFI COFI Coffee ideas拉菲脑袋 慢熟面包店bud bread 猫森商店 橡皮文具店（很多可爱小文具） 妙妙磨古屋（衣服，发饰） BFF weekend（小蛋糕，马卡龙） 波奈古着屋 有很多可以出片的地方，可以根据需要选择哦！ （最重要的！穿一双合适的鞋子，别累到啦！） #杭州[话题]# #杭州citywalk[话题]# #杭州citywalk路线[话题]# #杭州旅游[话题]# #杭州美食[话题]# #杭州探店[话题]# #杭州拍照[话题]# #杭州宝藏服装店[话题]# #杭州网红打卡地[话题]#,"杭州, 杭州citywalk, 杭州citywalk路线, 杭州旅游, 杭州美食, 杭州探店, 杭州拍照, 杭州宝藏服装店, 杭州网红打卡地"
这条citywalk路线，又浪漫又好吃又好逛❤️,这条路线连接了杭州经典景点，跟着这份攻略走，既可以欣赏风景，又可以逛街，还可以享受美食，超适合家人／闺蜜／情侣噢[赞R] 	 [打卡R]【路线：大马弄→十五奎巷→南宋御街→西湖天地→湖滨银泰→武林夜市】[打卡R]地图见p7 	 第[一R]站｜大马弄 大马弄的市集值得一看。在这里，你能看到许多老人在这晒太阳、买菜，如果想要感受杭州本土风土人情，来这里看看市集准没错。 可品尝美食：酥鱼、油墩子、葱包烩、粽子、馄饨 	 第[二R]站｜十五奎巷 这里是皇城脚下的老杭州居民区，导航到“巴尔干客栈”可以找到p2的机位。 	 第[三R]站｜南宋御街 不花钱指南[满月R]：南宋御街里有很多店都能试吃试喝，是能吃饱的程度。这里大力推荐一下南宋胡记和布兰兔的试吃试喝，味道极棒[满月R][满月R] 	 第[四R]站｜涌金广场、西湖天地 从南宋御街出来，可导航至西湖天地，沿着西湖大道步行可达。抵达西湖天地后可沿湖边走，别有一番风景，尤其是夕阳西下时。 	 第[五R]站｜湖滨银泰 从西湖天地沿湖一路步行至湖滨银泰，晚上7：30可观看西湖音乐喷泉（免费）。 	 第[六R]站｜武林夜市 几乎所有品牌奶茶店都在这。这里的摊位有小吃、小饰品、香薰等等，好逛！ #过年[话题]#  #杭州[话题]# #杭州旅游[话题]# #周末[话题]# #徒步[话题]# #假日citywalk[话题]# #我的旅行故事[话题]# #游记[话题]# #城市摄影[话题]# #旅游[话题]# #周末去哪儿[话题]# #国内旅游日常[话题]# #人文景点分享[话题]# #美食日常[话题]#,"过年, 杭州, 杭州旅游, 周末, 徒步, 假日citywalk, 我的旅行故事, 游记, 城市摄影, 旅游, 周末去哪儿, 国内旅游日常, 人文景点分享, 美食日常"
🔥杭州西湖CityWalk必吃的7️⃣家店（附地址）,这些开了多年的老字号小吃和小破🪰苍蝇馆子！！ 都是杭漂十几年间一直自费吃过N次的！希望能帮到大家！ 基本都靠近地铁龙翔桥站🚇！记得收藏好地址哦！！ 	 1️⃣泮芳春煎饺（鼓楼店） 📍中山南路479号 杭州坠便宜米其林餐厅，🥟煎饺💰1/个➕拌面🍜 💰7/碗 2️⃣知味观 📍仁和路83号 💁杭州当之无愧的老字号！很多分店，湖滨的这家是总店 3️⃣李犟大爆鳝面 📍延安路179号 西湖边的老底子非遗美食，西湖百米内，真西湖边面馆 4️⃣绝美嘉海鲜馄饨（武林店） 📍天水街道万寿亭街31号 1️⃣0️⃣年老店了，分店好几家，推荐过很多人去吃他们家的砂锅馄饨煲，都称赞！ 5️⃣富春王记烧饼（中山中路总店） 📍中山中路399-1号 十年小破店，老板靠着做饼买了好几套房了！多数时间都要排队。 6️⃣小白餐馆 📍光复路122号附近日新桥弄2号 藏在巷子里的小破店，开了二十年！专做附近居民生意，好吃不贵！ 7️⃣三毛烧烤（邮电路店） 📍上城区邮电路5号 西湖附近开了三十多年的烧烤店，真的反复吃了十几年，营业至凌晨2点，是我的私藏夜宵地！！ #大声安利本地美食[话题]# #杭州旅游[话题]# #杭州美食[话题]# #杭州攻略[话题]# #杭州旅游吃什么[话题]# #宝藏餐厅分享[话题]# #平价美食[话题]# #城市探寻计划[话题]# #西湖[话题]#  #杭州吃喝玩乐[话题]# #周末去哪儿[话题]# #西湖边美食[话题]##杭州美食我来推[话题]# #小吃[话题]##西湖美食[话题]# #大家觉得杭州是美食荒漠吗？[PK]#,"大声安利本地美食, 杭州旅游, 杭州美食, 杭州攻略, 杭州旅游吃什么, 宝藏餐厅分享, 平价美食, 城市探寻计划, 西湖, 杭州吃喝玩乐, 周末去哪儿, 西湖边美食, 杭州美食我来推, 小吃, 西湖美食"
