title,desc,tags
实话确实难听，但这就是杭州旅游现状,作为在杭州生活几十年的杭州人，说点杭州旅游的大实话吧 写给想要来杭州旅游的小伙伴们！ 1、杭州真的不适合走马观花的特种兵式旅游，如果可以，需要慢一点去品味杭州的美，结合历史、人文、景色会有更好的体验 	 2、一般来杭州玩的人都会去苏堤白堤等外西湖，人又多，且相对美景少，推荐乌龟潭-浴鹄湾-花港观鱼这一条线路，更绿更有意境，会有绿野仙踪的感觉 	 3、想去灵隐寺是需要买两个票的，飞来峰景区和灵隐寺的两个票，因为这是两个公司管理的 	 4、河坊街、小河直街这些地方人多，商业化严重，不用很仔细玩，游览一下就可以 	 5、茅家埠、龙井村、九溪这些地方很适合citywalk，但是看天气，夏天会非常热 	 6、杭州博物馆很多，很好逛，丝绸博物馆、良渚博物馆、之江新开的浙江博物馆，不花钱就可以看但注意预约时间 	 7、良渚适合抽一天游览，离主城区比较远，但是整体氛围感很不错 	 8、杭州的食物可以说吃不惯，但是说美食荒漠真的很没有礼貌，好吃的有，没有必要上来就玩梗，杭州菜不是只有西湖醋鱼 	 9、杭州的甜品面包非常好吃！富贵面包公司、黑彩虹、安莎烘焙等，值得去打卡试一下！ 	 10、杭州交通市中心会比较堵，可以的话选择公众交通，共享单车也是不错的选择 	 真心希望每一个来杭州玩的朋友能有个好的旅游体验，杭州值得大家来，感谢大家来 [飞吻R][飞吻R][飞吻R] #民宿[话题]#  #西湖[话题]#  #杭州[话题]#  #旅游[话题]#  #不可错过的美景[话题]#  #旅行推荐官[话题]#  #旅途中的美景[话题]#  #小众景点[话题]#  #杭州美食[话题]#  #杭州旅游[话题]#  #自驾游路线[话题]#  @走走薯  @生活薯,"民宿, 西湖, 杭州, 旅游, 不可错过的美景, 旅行推荐官, 旅途中的美景, 小众景点, 杭州美食, 杭州旅游, 自驾游路线"
比起西湖，我更推荐杭州运河边小众citywalk,第一次来杭州，一定要知道这条小众citywalk 这里藏着杭州的一半历史，一半人间烟火 如果给杭州留2天时间，除了西湖一日游 听我劝：走完这条citywalk杭州才不算白来！ 	 · ✅路线行程 武林门码头—信义坊码头—富义仓—香积寺—大兜路历史文化街区—小河直街—小河公园—桥西历史文化街区—拱宸桥码头-武林门码头-西湖文化广场-武林夜市 	 ⚠️Tips：水上巴士1号线 只用3r就能游遍大运河沿线景点，建议早上提前排队上船占窗边位置！非首发站，途径站点上船，不一定每个班次都有座位！如果这一趟船满员，就要继续等下一趟时间！ 	 . ✅必打卡景点 ❶香积寺 🎫门票：20r（寺庙卡免费） 门口可以看到绝美的古今同框！这里可以吃斋饭！ 	 ❷大兜路历史文化街区 🎫门票：免费 保留了很多清末民初的历史建筑，我拍到了一半仙气一半烟火！ 	 ❸富义仓遗址公园 🎫门票：免费 有天下粮仓之称，现在内部不定期举办各种展览 	 ❹小河直街 🎫门票：免费 极具江南水乡韵味的建筑，手作/咖啡/茶馆二文 艺氛围感满满💯 	 ❺小河公园 🎫门票：免费 浓浓现代工业风的油罐建筑，是日本建筑大师隈研吾团队设计，由小河油库改建而成。本地人zui爱逛的公园！ 	 ❻桥西历史文化街区 🎫门票：免费 藏着杭州近现代百年工业发展故事，来这里寻找街巷里弄的人间烟火。一口气逛完6个博物馆，还能一路集齐盖章！ 	 . ✅住宿 我们入住了「杭州纳德世家大酒店」交通非常便捷，距离游玩西湖&大运河都很近，湖景房站在窗边一眼能看到西湖！堪称市中心的性价比之王！不得不说：酒店提供的自助餐打破了我对杭州美食的印象！海鲜自由！甜品自由！中式菜品口味也很👍一楼还有新中式下午茶，真的很惬意～ . #杭州周末去哪儿[话题]# #周末去哪儿[话题]# #杭州Citywalk[话题]# #杭州[话题]# #杭州旅游[话题]# #杭州拍照[话题]# #京杭大运河杭州景区[话题]# #杭州周末好去处[话题]# #周末好去处[话题]# #国庆节旅游[话题]# #国庆去哪儿玩[话题]# #国庆旅游攻略[话题]# #旅游攻略[话题]# #杭州旅行[话题]# #杭州旅行攻略[话题]# #杭州旅遊攻略[话题]# #家门口也有好风景[话题]# #不懂就问有问必答[话题]# #分享一次住宿体验[话题]#,"杭州周末去哪儿, 周末去哪儿, 杭州Citywalk, 杭州, 杭州旅游, 杭州拍照, 京杭大运河杭州景区, 杭州周末好去处, 周末好去处, 国庆节旅游, 国庆去哪儿玩, 国庆旅游攻略, 旅游攻略, 杭州旅行, 杭州旅行攻略, 杭州旅遊攻略, 家门口也有好风景, 不懂就问有问必答, 分享一次住宿体验"
暴走2w步，来杭州只逛一条街📍中山中路,中山中路真的是宝藏街区！开端是南宋御街，靠近河坊街，但没那么商业化。头顶绿色茂密大树🌳，夏天走也不会太热。一路往北走，能看到很多欧式风格的历史建筑洋房🏦 	 🕌凤凰寺 在市区的伊斯兰教礼拜中心，因此周围有很多清真牛羊肉餐饮店。地方不大，10分钟就能逛完，免费参观～ 	 🏛️羊坝头 旁边是欧式建筑，网红电商服装人御用场地，运气好的话能偶遇杭州网红～ 	 如果懒得规划路线，那么直接从中山中路1号一直走到底，无脑又轻松地get这条路～ 	 🍴特色餐厅 羊坝头马大西北牛肉火锅 喀摩尔土耳其风味餐厅 番禺申记·现切猪杂粥 岐照·日式挽肉大米 奎元馆 	 🍰咖啡甜品店 pandas bamboo熊竹咖啡 梦记咖啡 三浪咖啡 bitofree甜菜 晓春和 福兹FUTSU QUEL QUER sip coffee&taproom 	 🍹酒吧 养鱼young boss bar 日出sunrise lounge 红lounge bar 隔壁酒馆 outsider局外人精酿 #杭州citywalk[话题]# #杭州周末去哪儿[话题]# #旅游[话题]# #杭州拍照[话题]# #杭州咖啡店[话题]# #杭州面包店[话题]# #逛街[话题]#,"杭州citywalk, 杭州周末去哪儿, 旅游, 杭州拍照, 杭州咖啡店, 杭州面包店, 逛街"
五一避开人挤人‼️一天打卡杭州8个免费景点,除了去西湖、去灵隐寺，还有一条私藏许久的citywalk路线 花一天时间，既能乘坐zui美水上巴士，又能逛吃老杭州感受市井气息，这条避开人流的小众路线赶快收藏好哦！ （⚠️文字攻略在最后） ………… 「CityWalk一日游路线」 坝子桥➟梅花碑➟五柳巷➟德寿宫➟十五奎巷➟大马弄➟鼓楼➟南宋御街➟河坊街 ………… 「关于住宿」 可以选择这三个地方： ①湖滨步行街 ②河坊街 ③黄龙广场 PS：无论是交通还是吃饭都很方便，距离西湖、河坊街非常近 ………… ►►►第1站：水上巴士7号线◄◄◄ 地铁5号线「宝善桥A2口」或者公交「莫衙营站」下车 步行200米抵达「坝子桥水上巴士站」 🎫船票：3r/人，上船刷卡 🚢8人一船（小船），下午16:00那班能坐24人（大船） 	 ►►►第2站：五柳巷◄◄◄ 从梅花碑下船步行5min到五柳巷，沿河而建，一侧是绿荫小路，一侧是老城生活区，充斥着老杭州的市井气息 有几处美食可以打卡： ❶游埠豆浆：咸豆浆、油条、烧饼 ❷金华酥饼：梅干菜烧饼 ❸赵宝美点心店：小馄饨、葱煎包 	 ►►►第3站：德寿宫◄◄◄ 整个场馆分地上和地下两部分，相比较修缮一新的地上宫殿，我geng喜欢地下的慈福宫遗址和重华殿 🎫门票：免费 ⏰开放时间：09:30—17:00 📢公益讲解：上午10:30，下午14:30（游客中心集合） ～必看的两场数字影像（时⌚️间表见视频）～ 	 ►►►第4站：十五奎巷◄◄◄ 解锁拍照机位📍巴尔干客栈（十五奎巷的晓霞弄） 这里能拍到小巷子与望仙阁同框照片～ 	 ►►►第5站：大马弄◄◄◄ 步行5分钟到大马弄，寻找藏在菜市场里的杭州味道 ❶蒋师傅酥鱼 ❷周萍粽子 ❸菊英面店 ❹侯大姐葱包烩 ❺小王油墩儿 ❻素烧鹅 	 ►►►第6站：鼓楼◄◄◄ 临近傍晚，从大马弄步行10分钟抵达鼓楼，比起白天的模样，夜幕下的鼓楼更有感觉 古色古香的建筑配上红色灯笼和盘旋着的金色祥龙，福气满分！ 	 ►►►第7站：南宋御街◄◄◄ 穿过鼓楼，进入清河坊，比起热闹的街巷，我更喜欢呆在「猫空」这样的地方， 	 ►►►第8站：河坊街◄◄◄ 与南宋御街交叉的东西向老街「清河坊」，是杭州唯一保存完整的旧街区 逛完清河坊，可以到旁边的高银街，有很多杭帮菜的餐馆 #五一怎么办[话题]#  #旅游攻略编辑部[话题]#  #五一不扎堆指南[话题]#  #来我家乡玩一天[话题]#  #杭州旅行[话题]#  #杭州旅行攻略[话题]#  #西湖[话题]#  #灵隐寺[话题]#  #京杭大运河[话题]#  #我要反向旅游[话题]#,"五一怎么办, 旅游攻略编辑部, 五一不扎堆指南, 来我家乡玩一天, 杭州旅行, 杭州旅行攻略, 西湖, 灵隐寺, 京杭大运河, 我要反向旅游"
除了去西湖，我还建议你走运河citywalk路线,来杭州，除了去#西湖[话题]# 我还建议你来#京杭大运河[话题]# 这里没有#河坊街[话题]# 那么嘈杂，很安逸 这里有很多特色的历史街区 白墙黛瓦，青石板路，小巷深深 这里可以满足你对老杭州历史文化的所有幻想 . 🤣但是大运河这么长，怎么玩才能玩到精华呢 本地人都说好的一日游攻略来啦👍 . 👉一日游路线： 3r的运河水上巴士+运河citywalk . ❤️怎么去 🚇地铁1号线闸弄口地铁站D口出 步行几分钟到达濮家站 坐3元水上巴士1号线，从濮家码头-拱宸桥 . [向右R]Citywalk路线 中国大运河博物馆（运河广场）-拱宸桥-桥西历史街区-中国伞，刀剪剑博物馆-小河直街-小河公园-大兜路历史街区-香积寺-富义仓-胜利河美食街 . ❤️关于景点 [一R]#杭州京杭大运河水上巴士1号线[话题]# ⏰：7点-17点55 💰：3r（上船买票） . [二R]#杭州京杭大运河博物馆[话题]# 免费 ⏰9;00-16;00 周一闭馆 展示了从北京到杭州一路上运河的风景， 可以深度了解大运河的历史文化和风土人情 . [三R]#拱宸桥[话题]# 一座拱宸桥，半部杭州史 这里是京杭大运河的起点，承载了杭州的历史 . [四R]#桥西历史街区[话题]# 这里保留了原汁原味的清末民初建筑 有很多特色小店 不要错过中国伞博物馆和刀剪剑博物馆，适合带娃涨知识 🌟博物馆周一周二闭馆，不要跑空了 . [五R]#小河直街[话题]# 这里青石板路，小巷深深 很多有特色的小店，也有很多猫咖，适合撸猫看景 . [六R]#小河公园[话题]# 这里原来是小河油库 后面被改成一个工业风公园 很适合带娃玩 . [七R]#大兜路历史街区[话题]# 沿街很多文艺小店和咖啡馆，很适合在这感受慢时光 . [八R]#香积寺[话题]# 国内wei一供奉有食神的寺庙，素斋一绝 . [九R]#富义仓[话题]# 这里是杭州现存wei一的粮仓 很适合在这发呆看景 . [一R][零R]#胜利河美食街[话题]# 17：00-2点 夜宵好去处，有烧烤，火锅，大排档，各种店铺 [点赞R]：脆皮年糕，烤猪蹄，烤扇贝，火锅，海鲜 . ‼️注意 [一R]如果要去博物馆，可早点出发，这样一天可逛运河边4个博物馆，还不累 . [二R]整条运河citywalk路线共5小时左右，都免费 一路都有美食，文艺小店，很适合度过悠闲慢时光 . [三R]水上巴士，上船买票，票价3r，不要弄错了 . 我是多宝妈妈，关 注 我，带你玩杭州 . #我的私藏旅行路线[话题]# #杭州旅游[话题]# #杭州旅行[话题]# #杭州周末去哪儿[话题]# #杭州[话题]# #杭州拍照[话题]# #杭州老街[话题]# #西湖美景[话题]# . #你喜欢运河哪个景点 [投票]#,"西湖, 京杭大运河, 河坊街, 杭州京杭大运河水上巴士1号线, 杭州京杭大运河博物馆, 拱宸桥, 桥西历史街区, 小河直街, 小河公园, 大兜路历史街区, 香积寺, 富义仓, 胜利河美食街, 我的私藏旅行路线, 杭州旅游, 杭州旅行, 杭州周末去哪儿, 杭州, 杭州拍照, 杭州老街, 西湖美景"
比起西湖，我更推荐这条运河小众citywalk‼️,第一次来杭州，除了西湖，推荐这条小众citywalk 一条运河线  半部杭州史 这里有小桥流水、文艺小店 有老杭州的烟火气 最近还有凌霄花绽放 	 ～ 🍭推荐路线： 香积寺 → 大兜路历史街区 →  桥西历史文化街区 → 小河公园 → 小河直街 	 1️⃣ 香积寺 北宋古庙，隐于闹市。寺庙建筑唐宋之风，比较清净，适合祈福许愿； 🕰️开放时间：8:00-17:00 🎫门票：20，寺庙卡🆓 	 2️⃣ 大兜路历史街区 香积寺出门右转就到了，边上就是大运河。绿树成荫，还有市集。逛累了看看运河风光，喝喝咖啡； 	 3️⃣ 桥西历史文化街区 经过大名鼎鼎的拱宸桥，就到桥西历史街区了。街道两旁是各种工艺小店。古街小巷，很有烟火气，最近凌霄花也开了； ✅历史展馆： 大运河博物馆 中国伞博物馆 中国扇博物馆 刀剑剪博物馆 	 4️⃣ 小河公园 工业风艺术公园，废旧油罐改造的建筑群，很有特色。溜自己遛娃都很不错； 	 5️⃣ 小河直街 文艺宝藏老街，有三条小街可以溜达。小店都布置得很有趣，拍照打卡够好看。晚上的小河直街也别有一番光彩； 	 #被低估的宝藏小城[话题]# #去班味小城[话题]# #杭州旅游[话题]# #旅行随地大小拍[话题]# #旅行攻略[话题]# #周末去哪儿[话题]# #杭州[话题]# #江浙沪周边游[话题]# #citywalk[话题]# #杭州拍照[话题]#,"被低估的宝藏小城, 去班味小城, 杭州旅游, 旅行随地大小拍, 旅行攻略, 周末去哪儿, 杭州, 江浙沪周边游, citywalk, 杭州拍照"
人生建议‼️来杭州一定一定要先看这篇攻略‼️,作为一个在杭州的旅游博主 基本上把这个城市各个角落都打卡了一遍 如果你也想来杭州游玩，那么这份游玩攻略请收好！ 	 ✨Day1：西湖经典一日游 路线：龙翔桥B口--湖滨一公园码头--三潭印月-花港观鱼-太子湾公园-净慈寺-雷峰塔-观光车过苏堤-西冷桥-孤山路-白堤一断桥残雪-武林夜市-凤起路 	 👍tips： -苏堤一定要坐观光车 不然会走断腿 -西泠桥是日落观赏点 很美 	 ✨Day2:灵隐寺法喜寺攻略 🚇黄龙体育中心/ 龙翔桥 这两个地铁站 都有灵隐专线公交🚌 👍tips： -灵隐寺在飞来峰景区里面 两个门票共75r 需要一起买 	 -灵隐寺出口有接驳车 10元到达法喜寺门口很方便 	 -法喜寺有公交站 不建议打车因为很堵 坐1314路公交可回到西湖 	 ✨大运河citywalk路线 香积寺-（步行800米）-大兜路-（步行800米）-小河直街-小河公园-（步行900米）-桥西历史文化街区-（步行400米）拱宸桥 	 👍tips： -香积寺门票20r 寺庙闹中取静很独特 -大兜路比小河直街 人流量更少 古朴文艺 有很多摆摊的市集值得一逛 -小河直街很多簪花店铺 网红咖啡馆 茶馆 -桥西历史文化街区很多博物馆 中国扇博物馆 伞博物馆 刀剪剑博物馆 	 ✨住宿攻略 🏨预算充足的姐妹 住宿可以选择【杭州洲际酒店】 住宿贵一点旅行体验感也更好 江景房的落地玻璃窗，望出去是浩淼的钱塘江 视野开阔 夜间霓虹亮起又是另一番景色 房间设施齐全 酒店紧邻地铁市民中心站 步行可至周边大型购物🛍️商城 观赏钱塘江的城市阳台 真的很方便 	 ✨来杭州旅游的宝子 建议提前在美团上订酒店 热门旅行地经常有福利 上面也经常有折扣很划算！ 美团上搜索【江浙沪111】就可以看到啦！ 	 #美团酒店[话题]# #假日躺倒计划[话题]##我的300个人生酒店[话题]##美团酒店全国旅行地图[话题]##杭州[话题]# #杭州旅游攻略[话题]##西湖攻略[话题]##元旦旅行[话题]##江浙沪旅行[话题]##杭州洲际酒店[话题]#,"美团酒店, 假日躺倒计划, 我的300个人生酒店, 美团酒店全国旅行地图, 杭州, 杭州旅游攻略, 西湖攻略, 元旦旅行, 江浙沪旅行, 杭州洲际酒店"
真的没人！西湖走过最舒服的city walk路线！,/ 每个来杭州旅游的人 应该都会去一趟西湖 但是会忽略了西湖边这些人少景美的景点 我推荐你花一天时间 避开人流 来一场city walk 非常舒服惬意~ / ✅City walk路线： 柳浪闻莺→万松书院→虎跑公园→理安寺→韩美林艺术馆 ． 🔶柳浪闻莺： 很喜欢这个翠绿秘境，桥洞+倒影拍照很绝，这个机位藏在公园里，导航“横河桥”就能看到，公园湖边也很美，可以一起逛逛 🔶万松书院： 建议先去白蛇飞渡拍照，空中栈道很出片，再到万松书院，一路往上打卡，雨天更有氛围感~ 🔶虎跑公园： 本人超爱的氛围感公园，来这里感觉心都静了，虎跑泉水很甘甜，很多人会来这里取水回家 🔶理安寺： 相比灵隐寺的人挤人，我更推荐这个无人仙境 🔶韩美林艺术馆： 藏在植物园里的艺术馆，巨大的佛头拍照赞爆朋友圈，建议早点来，可以避开人群~ #小众旅行地[话题]# #杭州拍照[话题]# #西湖美景如画[话题]# #杭州打卡[话题]# #杭州旅游攻略[话题]# #杭州citywalk[话题]# #杭州拍照打卡[话题]# #反向旅行出门溜溜[话题]# #新年旅行第一站[话题]#,"小众旅行地, 杭州拍照, 西湖美景如画, 杭州打卡, 杭州旅游攻略, 杭州citywalk, 杭州拍照打卡, 反向旅行出门溜溜, 新年旅行第一站"
比起西湖，我更爱杭州这5️⃣条citywalk路线,#假日citywalk[话题]# 上有苏杭，下有天堂 这个秋天🍂总要来杭州旅行一次吧 比起杭州的名片——西湖 我更爱这5条本地人推荐的citywalk路线🚶 风景美的同时，蕴含着杭州老底子的味道 可以看到杭州除了西湖之外的另一种美👍 · 1️⃣人文运河walk 🚶步行：4km ⌚️用时：3.5h 🗺️路线：香积寺→大兜路历史街区→小河直街→小河公园→拱宸桥西历史文化街区 💡特点：见证了世界文化遗产——京杭大运河的变迁，有着江南水乡邻水而居的特色，手工、咖啡、餐厅、非遗……很有人文艺术气息 · 2️⃣南宋遗韵walk 🚶步行：4.5km ⌚️用时：4.5h 🗺️路线：五柳巷历史街区→德寿宫→十五奎巷→大马弄→积义亭→白蛇飞渡 💡特点：南宋皇城根下的人间烟火，很多老底子的巷弄，老杭州的味道 · 3️⃣治愈公园walk 🚶步行：3km ⌚️用时：3h 🗺️路线：虎跑→杭州动物园→满觉陇村→太子湾→九曜山 💡特点：杭州zui美的公园，神秘又宁静，最后登顶九曜阁，还可以俯西湖的瞰浴鹄湾 · 4️⃣绿色秘境walk 🚶步行：6km ⌚️用时：5h 🗺️路线：九溪公交站→九溪烟树→理安寺→杨梅岭→白鹤峰 💡特点：绿野仙踪，到处都是参天大树、茶田溪流，还有精致的村庄，千与千寻汤屋，俯瞰西湖的秋千 · 5️⃣都市夜游walk 🚶步行：3.5km ⌚️用时：2.5h 🗺️路线：亚洲花卉主题园→钱江世纪公园→沿江绿道→亚运主题公园→奥体中心 💡特点：不是纽约曼哈顿‼️杭州也有繁华的都市氛围，钱塘江两岸的高楼大厦，晚上定期有灯光秀，晚上吹吹江风散散步很舒服 · 我是@圆周旅迹 上做的旅行攻略，各个景点之间的距离一目了然，真的超级方便👍还可以帮忙优化行程，不走回头路。本J人看到这样好用的程序狂喜🤩大家也可以根据我的行程自己删减规划，操作很简单~ · #J人旅行指南[话题]#  #圆周旅迹[话题]# #杭州旅行[话题]# #杭州旅游[话题]# #杭州citywalk[话题]# #杭州周末去哪儿[话题]# #被低估的宝藏小城[话题]# #有国风小城[话题]# #1分钟搞定旅行规划[话题]# @生活薯,"假日citywalk, J人旅行指南, 圆周旅迹, 杭州旅行, 杭州旅游, 杭州citywalk, 杭州周末去哪儿, 被低估的宝藏小城, 有国风小城, 1分钟搞定旅行规划"
在杭州，我只去这6个地方,✍🏻 如果说西湖是杭州的面子， 那么西湖沿线那些神秘， 小众，雅致的神仙园子， 才代表着大杭州城真正的里子！ 做为一名土生土长的本地土著。 给你码了一篇假期来杭州西湖旅行的宝藏指南！ 住，行，景点，游玩时间，以及最强避人攻略！ 记！得！收！藏！🔥 - 🕤【游玩时间】 早上：07:00-09:00 傍晚：16:00-19:00 能避开集中性人流。 - 💃🏻【游玩景点】 ✅孤山： 西泠桥左手边就是孤山后门，古银杏林就在孤山敬一书院内，满地层层叠叠的落叶，洒满屋檐的黄叶，再加上边上的木质回廊，很像穿越小说的银杏林。 📍地址：孤山敬一书院。 - ✅玛瑙寺： 遗落在北山路上的避世之所，寺内古树参天，池塘锦鲤，圆门曲径，莲池花坛，非常适合爱拍照的小姐姐。 📍地址：葛岭路17号 - ✅曲院风荷： 枫树，密林，泛着青黄，池水里有野鸭子时不时扑扇翅膀，色彩各异的木船停泊在光影中，秋日阳光会将所有景物都朦上最美的滤镜… 📍地址：北山街89号 - ✅郭庄： 西湖的后花园，极为小巧精致，花窗、连廊、亭台、楼阁，就连残荷，游鱼和树影都能拍出诗情画意。 📍地址：杨公堤28号 - ✅茅家埠： 遗失天堂水域的世外桃源，枫叶，水杉，亭子，溪水，栈桥，茅草屋，一切都像是野生的。 📍地址：杨公堤17号 - ✅鹆鹄湾： 杭州本地人私藏的后花园，远山，湖水，藤蔓，除飞鸟和野鸭，偶有清理湖面的小船划过，这里没有车来人往喧器，只有宁静与唯美。 📍地址：杭州三台山鹆鹄湾景区。 沿石板小路一直往里走，你能看见三台山一带极致的清幽。 - 🚌【出行交通】 ✅公交1314路，沿线全是西湖精华景点。 ✅景点间距不超过2公里，建议步行。 ✅景点间距不超过5公里，共享单车1.5元/小时。 - ‼️ 记得关注我鸭！国庆带你逛遍杭州小众景点！ #十一旅行日记[话题]##小众旅行地[话题]# #笔记灵感[话题]# #旅游攻略[话题]# #杭州[话题]# #杭州旅行[话题]# #杭州旅游[话题]# #西湖[话题]# #灵隐寺[话题]# #杭州拍照[话题]# #国庆节旅游[话题]# #国庆去哪儿玩[话题]# #江浙沪旅游[话题]# #江浙沪周边游[话题]#,"十一旅行日记, 小众旅行地, 笔记灵感, 旅游攻略, 杭州, 杭州旅行, 杭州旅游, 西湖, 灵隐寺, 杭州拍照, 国庆节旅游, 国庆去哪儿玩, 江浙沪旅游, 江浙沪周边游"
